,error,knn__n_neighbors,mean,rca__chunk_size,rca__num_chunks,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
30,Cascading:Unable to make 1000 chunks of 10 examples each,1,0.48354792560801146,16,10,0.49295774647887325,0.5072463768115942,0.44285714285714284,0.4714285714285714,0.4142857142857143,0.5571428571428572,0.5142857142857142,0.42857142857142855,0.5285714285714286,0.4782608695652174,0.043230246050669184,0.10912258625030517,1.2103423595428466,0.013735675811767578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,breast-cancer-wisconsin
31,Cascading:Unable to make 50 chunks of 16 examples each,1,0.0,16,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11264266967773437,1.2171855926513673,0.013735675811767578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
32,Cascading:Unable to make 100 chunks of 16 examples each,1,0.0,16,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11616275310516358,1.2240585803985595,0.013735675811767578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
33,Cascading:Unable to make 500 chunks of 16 examples each,1,0.0,16,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11968283653259278,1.2316225528717042,0.013735675811767578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
34,Cascading:Unable to make 1000 chunks of 16 examples each,1,0.0,16,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12320291996002197,1.236123514175415,0.013735675811767578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
35,Cascading:Unable to make 1000 chunks of 16 examples each,1,0.5121602288984263,32,10,0.5211267605633803,0.5797101449275363,0.4714285714285714,0.5,0.5428571428571428,0.5428571428571428,0.5285714285714286,0.45714285714285713,0.5142857142857142,0.463768115942029,0.037386469237413754,0.12672300338745118,1.2452372789382935,0.014441466331481934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,breast-cancer-wisconsin
36,Cascading:Unable to make 50 chunks of 32 examples each,1,0.0,32,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13024308681488037,1.2493166208267212,0.014441466331481934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
37,Cascading:Unable to make 100 chunks of 32 examples each,1,0.0,32,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13376317024230958,1.2532774209976196,0.014441466331481934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
38,Cascading:Unable to make 500 chunks of 32 examples each,1,0.0,32,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13728325366973876,1.258334469795227,0.014441466331481934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
39,Cascading:Unable to make 1000 chunks of 32 examples each,1,0.0,32,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14080333709716797,1.2618423700332642,0.014441466331481934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
40,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14432342052459718,1.3800666570663451,0.015079569816589356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
41,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0.0,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14784350395202636,1.4296413660049438,0.015666627883911134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
42,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0.0,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15136358737945557,1.4983875513076783,0.016249585151672363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
43,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0.0,1,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15488367080688475,1.740403127670288,0.016820454597473146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
44,Cascading:Unable to make 1000 chunks of 1 examples each,2,0.0,1,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15840375423431396,1.8059452772140503,0.016820454597473146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
45,Cascading:Unable to make 1000 chunks of 1 examples each,2,0.6695278969957081,2,10,0.8591549295774648,0.6376811594202898,0.6285714285714286,0.7142857142857143,0.8571428571428571,0.4142857142857143,0.7571428571428571,0.7142857142857143,0.5857142857142857,0.5217391304347826,0.1339941668343173,0.16192383766174318,1.811351442337036,0.01753511428833008,0.9567636305833731,0.9617834394904459,0.9571428571428572,0.9395866454689984,0.9650238473767886,0.9459459459459459,0.958664546899841,0.958664546899841,0.9570747217806042,0.9618441971383148,0.9619047619047619,0.007518056433630298,RCA+kNN,breast-cancer-wisconsin
46,Cascading:Unable to make 1000 chunks of 1 examples each,2,0.580829756795422,2,50,0.6901408450704225,0.5942028985507246,0.4714285714285714,0.4714285714285714,0.5285714285714286,0.6285714285714286,0.7285714285714285,0.5714285714285714,0.5857142857142857,0.5362318840579711,0.080624812201706,0.16544392108917236,1.8367992639541626,0.018238759040832518,0.9663010650135113,0.9697452229299363,0.9714285714285714,0.972972972972973,0.9634340222575517,0.9538950715421304,0.9666136724960255,0.972972972972973,0.9682034976152624,0.958664546899841,0.9650793650793651,0.005940006720730444,RCA+kNN,breast-cancer-wisconsin
