,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,sdml__balance_param,sdml__num_constraints,sdml__sparsity_param,sdml__use_cov,std,time1,time2,time3,technique,dataset
25,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9545454545454546,0.9,0.0,0.0,0.9523809523809523,0.0,0.0,0.7619047619047619,0.0,0.0,0.25,100000,0.01,False,0.4398897337177245,0.09482121467590332,289.82840673923494,0.025937867164611817,stand+SDML+kNN,sonar
26,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9090909090909091,0.8,0.8571428571428571,0.7619047619047619,0.9523809523809523,0.7619047619047619,0.8571428571428571,0.0,0.8,0.9,0.25,100000,0.05,True,0.2604840181078026,0.09846818447113037,315.9014924526215,0.026534891128540038,stand+SDML+kNN,sonar
27,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.9,0.8095238095238095,0.0,0.8571428571428571,0.0,0.7142857142857143,0.7142857142857143,0.9,0.85,0.25,100000,0.05,False,0.3810714843575628,0.10211515426635742,342.5164803981781,0.0270031213760376,stand+SDML+kNN,sonar
28,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9090909090909091,0.8,0.8571428571428571,0.7619047619047619,0.9523809523809523,0.7619047619047619,0.8571428571428571,0.0,0.8,0.9,0.25,100000,0.1,True,0.2604840181078026,0.10576212406158447,368.68380482196807,0.027605557441711427,stand+SDML+kNN,sonar
29,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8181818181818182,0.9,0.7619047619047619,0.0,0.8571428571428571,0.0,0.6666666666666666,0.7142857142857143,0.0,0.85,0.25,100000,0.1,False,0.3703103943196191,0.10940909385681152,395.14041152000425,0.028099822998046874,stand+SDML+kNN,sonar
30,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9090909090909091,0.8,0.8571428571428571,0.7619047619047619,0.9523809523809523,0.7619047619047619,0.8571428571428571,0.0,0.8,0.9,0.25,100000,0.25,True,0.2604840181078026,0.11305606365203857,421.03002593517306,0.028723621368408205,stand+SDML+kNN,sonar
31,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8181818181818182,0.9,0.7619047619047619,0.0,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.8,0.85,0.25,100000,0.25,False,0.2464341456477811,0.11670303344726562,448.4944373846054,0.029354095458984375,stand+SDML+kNN,sonar
32,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8181818181818182,0.9,0.7619047619047619,0.7619047619047619,0.9523809523809523,0.7142857142857143,0.8571428571428571,0.8095238095238095,0.9,1.0,0.5,10000,0.01,True,0.08634965005171863,0.12035000324249268,449.5305557489395,0.0300675630569458,stand+SDML+kNN,sonar
33,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8181818181818182,0.0,0.7619047619047619,0.7619047619047619,0.9047619047619048,0.7142857142857143,0.0,0.6190476190476191,0.85,0.0,0.5,10000,0.01,False,0.36281583949650564,0.12399697303771973,451.2099989891052,0.03055267333984375,stand+SDML+kNN,sonar
34,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8636363636363636,0.75,0.7619047619047619,0.7142857142857143,1.0,0.7142857142857143,0.9047619047619048,0.7142857142857143,0.8,0.95,0.5,10000,0.05,True,0.10025879632300563,0.12764394283294678,452.16771132946013,0.03126158714294434,stand+SDML+kNN,sonar
35,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9090909090909091,0.65,0.8095238095238095,0.7142857142857143,0.0,0.0,0.7142857142857143,0.7619047619047619,0.9,0.9,0.5,10000,0.05,False,0.328843182937988,0.13129091262817383,453.80536246299744,0.03179657459259033,stand+SDML+kNN,sonar
36,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9090909090909091,0.8,0.8571428571428571,0.7142857142857143,0.9523809523809523,0.7619047619047619,0.9047619047619048,0.8095238095238095,0.8,1.0,0.5,10000,0.1,True,0.08504861987333273,0.13493788242340088,454.81631731987,0.03250787258148193,stand+SDML+kNN,sonar
37,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.7272727272727273,0.8,0.7619047619047619,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7619047619047619,0.7142857142857143,0.7,0.85,0.5,10000,0.1,False,0.06040629182007913,0.13858485221862793,456.19419486522673,0.03319425582885742,stand+SDML+kNN,sonar
38,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,1.0,0.8,0.7619047619047619,0.7142857142857143,1.0,0.7142857142857143,0.7619047619047619,0.7142857142857143,0.75,0.9,0.5,10000,0.25,True,0.10774144956630445,0.14223182201385498,457.2492931127548,0.03387351036071777,stand+SDML+kNN,sonar
39,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8636363636363636,0.75,0.7619047619047619,0.7142857142857143,0.8571428571428571,0.8095238095238095,0.0,0.7619047619047619,0.9,0.0,0.5,10000,0.25,False,0.3255777365258826,0.14587879180908203,458.71539130210874,0.034378552436828615,stand+SDML+kNN,sonar
