,error,itml__gamma,itml__max_iters,itml__num_constraints,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
167,,1.0,250,320,4,0.6979166666666666,0.6753246753246753,0.6973684210526315,0.6363636363636364,0.6623376623376623,0.7012987012987013,0.7272727272727273,0.7662337662337663,0.7272727272727273,0.7012987012987013,0.6842105263157895,0.03488101717161397,0.7456071853637696,369.03832359313964,0.1443173408508301,ITML+kNN,pima-indians-diabetes
168,,1.0,500,40,4,0.6822916666666666,0.6883116883116883,0.6842105263157895,0.6493506493506493,0.6753246753246753,0.7272727272727273,0.7012987012987013,0.7402597402597403,0.6623376623376623,0.6623376623376623,0.631578947368421,0.03207256978831668,0.7500453233718872,369.46947939395903,0.1450422763824463,ITML+kNN,pima-indians-diabetes
169,,1.0,500,80,4,0.6822916666666666,0.6623376623376623,0.6973684210526315,0.6233766233766234,0.6623376623376623,0.7402597402597403,0.7142857142857143,0.7142857142857143,0.7012987012987013,0.6753246753246753,0.631578947368421,0.03589389357824079,0.7544834613800049,370.99939448833464,0.1457794189453125,ITML+kNN,pima-indians-diabetes
170,,1.0,500,160,4,0.7005208333333334,0.7272727272727273,0.6973684210526315,0.5974025974025974,0.7012987012987013,0.7142857142857143,0.7272727272727273,0.7402597402597403,0.7012987012987013,0.7142857142857143,0.6842105263157895,0.03781532816937162,0.7589215993881225,376.9533468723297,0.14651639461517335,ITML+kNN,pima-indians-diabetes
171,,1.0,500,320,4,0.6927083333333334,0.7012987012987013,0.6973684210526315,0.6103896103896104,0.6883116883116883,0.7142857142857143,0.7272727272727273,0.7792207792207793,0.7012987012987013,0.6623376623376623,0.6447368421052632,0.043969650754336585,0.7633597373962402,388.83954191207886,0.14726195335388184,ITML+kNN,pima-indians-diabetes
172,,1.0,1000,40,4,0.69140625,0.7012987012987013,0.6973684210526315,0.6363636363636364,0.6883116883116883,0.7272727272727273,0.7272727272727273,0.6753246753246753,0.7402597402597403,0.6883116883116883,0.631578947368421,0.034611553213369985,0.767797875404358,389.15006227493285,0.1480057954788208,ITML+kNN,pima-indians-diabetes
173,,1.0,1000,80,4,0.6848958333333334,0.6623376623376623,0.7236842105263158,0.6103896103896104,0.6623376623376623,0.6753246753246753,0.7012987012987013,0.7662337662337663,0.7272727272727273,0.6883116883116883,0.631578947368421,0.044384833069043,0.7722360134124756,390.5560788393021,0.14874231815338135,ITML+kNN,pima-indians-diabetes
174,,1.0,1000,160,4,0.6744791666666666,0.6753246753246753,0.7236842105263158,0.5974025974025974,0.6363636363636364,0.7402597402597403,0.6623376623376623,0.6753246753246753,0.7142857142857143,0.7142857142857143,0.6052631578947368,0.04717057224957924,0.7766741514205933,397.4623967885971,0.14951980113983154,ITML+kNN,pima-indians-diabetes
175,,1.0,1000,320,4,0.6822916666666666,0.6623376623376623,0.7236842105263158,0.6233766233766234,0.6753246753246753,0.6753246753246753,0.7272727272727273,0.6623376623376623,0.7272727272727273,0.6753246753246753,0.6710526315789473,0.032092302342567706,0.7811122894287109,420.8544085979462,0.15026192665100097,ITML+kNN,pima-indians-diabetes
176,,10.0,50,40,4,0.6979166666666666,0.6753246753246753,0.7368421052631579,0.6103896103896104,0.7272727272727273,0.6623376623376623,0.6883116883116883,0.7792207792207793,0.7272727272727273,0.6753246753246753,0.6973684210526315,0.044597403168352874,0.7855504274368286,421.09105694293976,0.15099358558654785,ITML+kNN,pima-indians-diabetes
177,,10.0,50,80,4,0.6848958333333334,0.7012987012987013,0.7368421052631579,0.5974025974025974,0.7012987012987013,0.6753246753246753,0.6883116883116883,0.7662337662337663,0.6883116883116883,0.6753246753246753,0.618421052631579,0.04704560782422893,0.7899885654449463,421.5409397602081,0.15172913074493408,ITML+kNN,pima-indians-diabetes
178,,10.0,50,160,4,0.6927083333333334,0.7272727272727273,0.7105263157894737,0.6103896103896104,0.7012987012987013,0.6883116883116883,0.7142857142857143,0.7272727272727273,0.7142857142857143,0.6883116883116883,0.6447368421052632,0.03581636228340924,0.794426703453064,422.33585863113404,0.15245389938354492,ITML+kNN,pima-indians-diabetes
179,,10.0,50,320,4,0.6875,0.6623376623376623,0.6578947368421053,0.6493506493506493,0.7142857142857143,0.7142857142857143,0.6623376623376623,0.7662337662337663,0.6623376623376623,0.7142857142857143,0.6710526315789473,0.03585133727426849,0.7988648414611816,423.8842154741287,0.15319995880126952,ITML+kNN,pima-indians-diabetes
180,,10.0,250,40,4,0.6888020833333334,0.7272727272727273,0.7105263157894737,0.6493506493506493,0.7012987012987013,0.7142857142857143,0.7012987012987013,0.7012987012987013,0.7532467532467533,0.6363636363636364,0.5921052631578947,0.04569392369014475,0.8033029794692993,425.04002578258513,0.15393533706665039,ITML+kNN,pima-indians-diabetes
181,,10.0,250,80,4,0.6666666666666666,0.6883116883116883,0.6842105263157895,0.5844155844155844,0.6883116883116883,0.7142857142857143,0.6883116883116883,0.7012987012987013,0.6623376623376623,0.7142857142857143,0.5394736842105263,0.055144959812083554,0.807741117477417,426.8504668712616,0.1547011137008667,ITML+kNN,pima-indians-diabetes
182,,10.0,250,160,4,0.6731770833333334,0.6623376623376623,0.6578947368421053,0.6623376623376623,0.6753246753246753,0.6753246753246753,0.7012987012987013,0.7012987012987013,0.6883116883116883,0.6753246753246753,0.631578947368421,0.020058489654269568,0.8121792554855347,429.94066581726076,0.15543217658996583,ITML+kNN,pima-indians-diabetes
183,,10.0,250,320,4,0.6692708333333334,0.6493506493506493,0.6842105263157895,0.6233766233766234,0.6623376623376623,0.6753246753246753,0.6753246753246753,0.7272727272727273,0.7142857142857143,0.6883116883116883,0.5921052631578947,0.038151312964329546,0.8166173934936524,435.9575512170792,0.1561803102493286,ITML+kNN,pima-indians-diabetes
184,,10.0,500,40,4,0.7018229166666666,0.7142857142857143,0.6710526315789473,0.6883116883116883,0.6883116883116883,0.6753246753246753,0.6883116883116883,0.7532467532467533,0.7532467532467533,0.7272727272727273,0.6578947368421053,0.03196569114935303,0.82105553150177,437.7567881345749,0.1569049119949341,ITML+kNN,pima-indians-diabetes
