,error,knn__n_neighbors,mean,rca__chunk_size,rca__num_chunks,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
34,Cascading:Unable to make 1000 chunks of 16 examples each,1,0.0,16,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15214133262634277,0.5316455841064454,0.024471306800842287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
35,Cascading:Unable to make 1000 chunks of 16 examples each,1,0.7584,32,10,0.7619047619047619,0.7,0.7936507936507936,0.8095238095238095,0.7619047619047619,0.7936507936507936,0.7619047619047619,0.7301587301587301,0.7142857142857143,0.7540983606557377,0.033626750235215476,0.15648822784423827,0.5359636783599854,0.025111794471740723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+RCA+kNN,balance-scale
36,Cascading:Unable to make 50 chunks of 32 examples each,1,0.0,32,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1608351230621338,0.5404463768005371,0.025111794471740723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
37,Cascading:Unable to make 100 chunks of 32 examples each,1,0.0,32,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1651820182800293,0.5448849916458129,0.025111794471740723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
38,Cascading:Unable to make 500 chunks of 32 examples each,1,0.0,32,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16952891349792482,0.5504338026046753,0.025111794471740723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
39,Cascading:Unable to make 1000 chunks of 32 examples each,1,0.0,32,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1738758087158203,0.5545238018035888,0.025111794471740723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
40,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1782227039337158,0.5920653820037842,0.02569081783294678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
41,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0.0,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18256959915161133,0.6028035402297973,0.026255226135253905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
42,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0.0,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18691649436950683,0.6199932813644409,0.026820826530456542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
43,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0.0,1,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19126338958740235,0.7150486707687378,0.027372241020202637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
44,Cascading:Unable to make 1000 chunks of 1 examples each,2,0.0,1,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19561028480529785,0.7600896835327149,0.027372241020202637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
45,Cascading:Unable to make 1000 chunks of 1 examples each,2,0.8176,2,10,0.9206349206349206,0.65,0.7777777777777778,0.9365079365079365,0.8571428571428571,0.7936507936507936,0.7142857142857143,0.7619047619047619,0.9682539682539683,0.7868852459016393,0.09694114609698051,0.19995718002319335,0.7645179271697998,0.02801387310028076,0.9226666666666666,0.9323843416370107,0.9061946902654867,0.8896797153024911,0.9572953736654805,0.9572953736654805,0.9288256227758007,0.8896797153024911,0.8718861209964412,0.9466192170818505,0.9468085106382979,0.02951860716746531,stand+RCA+kNN,balance-scale
46,Cascading:Unable to make 1000 chunks of 1 examples each,2,0.7968,2,50,0.7777777777777778,0.5833333333333334,0.7936507936507936,0.7936507936507936,0.8571428571428571,0.8253968253968254,0.873015873015873,0.9206349206349206,0.7777777777777778,0.7540983606557377,0.08586308038652356,0.20430407524108887,0.7766346216201783,0.028655433654785158,0.9114666666666666,0.8896797153024911,0.9097345132743363,0.8843416370106761,0.8843416370106761,0.9572953736654805,0.8861209964412812,0.9501779359430605,0.9590747330960854,0.9039145907473309,0.8900709219858156,0.029952931120881206,stand+RCA+kNN,balance-scale
47,Cascading:Unable to make 1000 chunks of 1 examples each,2,0.7248,2,100,0.746031746031746,0.6666666666666666,0.7619047619047619,0.7777777777777778,0.7777777777777778,0.7619047619047619,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.6557377049180327,0.045348442823310436,0.20865097045898437,0.7949531316757202,0.029294776916503906,0.8894222222222222,0.8932384341637011,0.8902654867256637,0.8932384341637011,0.8754448398576512,0.905693950177936,0.905693950177936,0.895017793594306,0.8879003558718861,0.8754448398576512,0.8723404255319149,0.011293912947036038,stand+RCA+kNN,balance-scale
48,Cascading:Unable to make 500 chunks of 2 examples each,2,0.0,2,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2129978656768799,0.824219036102295,0.029294776916503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
49,Cascading:Unable to make 1000 chunks of 2 examples each,2,0.0,2,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2173447608947754,0.8464697122573852,0.029294776916503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
50,Cascading:Unable to make 1000 chunks of 2 examples each,2,0.7632,3,10,0.8412698412698413,0.65,0.8412698412698413,0.746031746031746,0.7936507936507936,0.7142857142857143,0.6984126984126984,0.7619047619047619,0.6984126984126984,0.8852459016393442,0.07204865451421139,0.2216916561126709,0.8498898267745971,0.029940867424011232,0.9050666666666667,0.9448398576512456,0.904424778761062,0.9181494661921709,0.8825622775800712,0.9039145907473309,0.8861209964412812,0.8861209964412812,0.8754448398576512,0.8896797153024911,0.9592198581560284,0.026506424680601555,stand+RCA+kNN,balance-scale
51,Cascading:Unable to make 1000 chunks of 2 examples each,2,0.7904,3,50,0.746031746031746,0.6333333333333333,0.7619047619047619,0.8888888888888888,0.873015873015873,0.7936507936507936,0.9365079365079365,0.8571428571428571,0.7142857142857143,0.6885245901639344,0.09270874472795985,0.2260385513305664,0.8609308242797852,0.030579543113708495,0.9168,0.8879003558718861,0.9079646017699115,0.8879003558718861,0.9483985765124555,0.9590747330960854,0.895017793594306,0.9519572953736655,0.9519572953736655,0.8932384341637011,0.8847517730496454,0.030104543191171857,stand+RCA+kNN,balance-scale
52,Cascading:Unable to make 1000 chunks of 2 examples each,2,0.7344,3,100,0.7301587301587301,0.6333333333333333,0.746031746031746,0.7619047619047619,0.7619047619047619,0.8095238095238095,0.6984126984126984,0.7777777777777778,0.7142857142857143,0.7049180327868853,0.046873821362084296,0.2303854465484619,0.8823414325714112,0.03122096061706543,0.8819555555555556,0.8736654804270463,0.9061946902654867,0.8825622775800712,0.8754448398576512,0.8701067615658363,0.8701067615658363,0.8843416370106761,0.891459074733096,0.8754448398576512,0.8900709219858156,0.010881464576798157,stand+RCA+kNN,balance-scale
53,Cascading:Unable to make 500 chunks of 3 examples each,2,0.0,3,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23473234176635743,0.8963853359222412,0.03122096061706543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
54,Cascading:Unable to make 1000 chunks of 3 examples each,2,0.0,3,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23907923698425293,0.912900447845459,0.03122096061706543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
55,Cascading:Unable to make 1000 chunks of 3 examples each,2,0.8064,5,10,0.8095238095238095,0.7833333333333333,0.8253968253968254,0.7777777777777778,0.8412698412698413,0.8888888888888888,0.8412698412698413,0.8888888888888888,0.6984126984126984,0.7049180327868853,0.06302425421800321,0.24342613220214843,0.9163357019424438,0.03186652660369873,0.9207111111111111,0.8790035587188612,0.9221238938053097,0.9466192170818505,0.8790035587188612,0.9572953736654805,0.9519572953736655,0.9537366548042705,0.9537366548042705,0.8825622775800712,0.8812056737588653,0.03415315862863373,stand+RCA+kNN,balance-scale
56,Cascading:Unable to make 1000 chunks of 3 examples each,2,0.7248,5,50,0.746031746031746,0.6333333333333333,0.7619047619047619,0.746031746031746,0.7777777777777778,0.7936507936507936,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.639344262295082,0.05081427231681158,0.24777302742004395,0.9309295415878296,0.032509589195251466,0.8947555555555555,0.891459074733096,0.904424778761062,0.895017793594306,0.8861209964412812,0.905693950177936,0.891459074733096,0.9039145907473309,0.8896797153024911,0.895017793594306,0.8847517730496454,0.007206225040286636,stand+RCA+kNN,balance-scale
57,Cascading:Unable to make 1000 chunks of 3 examples each,2,0.7168,5,100,0.7142857142857143,0.6166666666666667,0.746031746031746,0.6984126984126984,0.7301587301587301,0.7936507936507936,0.7142857142857143,0.6825396825396826,0.7142857142857143,0.7540983606557377,0.04459415854178518,0.2521199226379395,0.9536438703536987,0.033153843879699704,0.8894222222222222,0.896797153024911,0.8902654867256637,0.8754448398576512,0.8807829181494662,0.8825622775800712,0.902135231316726,0.8825622775800712,0.8879003558718861,0.905693950177936,0.8900709219858156,0.009210590577246632,stand+RCA+kNN,balance-scale
58,Cascading:Unable to make 500 chunks of 5 examples each,2,0.0,5,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25646681785583497,0.9652114868164062,0.033153843879699704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
59,Cascading:Unable to make 1000 chunks of 5 examples each,2,0.0,5,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26081371307373047,0.9756829977035523,0.033153843879699704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
60,Cascading:Unable to make 1000 chunks of 5 examples each,2,0.792,7,10,0.7777777777777778,0.8833333333333333,0.8253968253968254,0.7142857142857143,0.873015873015873,0.8571428571428571,0.7301587301587301,0.7142857142857143,0.8571428571428571,0.6885245901639344,0.0716383716454684,0.26516060829162597,0.9795007467269897,0.03379511833190918,0.9160888888888888,0.8861209964412812,0.9610619469026549,0.891459074733096,0.8896797153024911,0.9626334519572953,0.9537366548042705,0.8896797153024911,0.8807829181494662,0.9466192170818505,0.898936170212766,0.03313418606393352,stand+RCA+kNN,balance-scale
61,Cascading:Unable to make 1000 chunks of 5 examples each,2,0.7184,7,50,0.7142857142857143,0.5833333333333334,0.7936507936507936,0.746031746031746,0.7301587301587301,0.7936507936507936,0.6825396825396826,0.746031746031746,0.7142857142857143,0.6721311475409836,0.05889655734550198,0.26950750350952146,0.9911429643630981,0.03443429470062256,0.8906666666666667,0.8843416370106761,0.8955752212389381,0.8879003558718861,0.8896797153024911,0.8879003558718861,0.8879003558718861,0.9074733096085409,0.8932384341637011,0.8879003558718861,0.8847517730496454,0.006478789097251467,stand+RCA+kNN,balance-scale
62,Cascading:Unable to make 100 chunks of 7 examples each,2,0.0,7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273854398727417,1.0007963180541992,0.03443429470062256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
