,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,sdml__balance_param,sdml__num_constraints,sdml__sparsity_param,sdml__use_cov,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
476,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,32,0.8896,0.9206349206349206,0.85,0.8888888888888888,0.8888888888888888,0.873015873015873,0.9047619047619048,0.9047619047619048,0.8571428571428571,0.9047619047619048,0.9016393442622951,1.0,100000,0.1,True,0.02166842603954014,2.2997034788131714,1495.8942470550537,0.3218855619430542,0.8963555555555556,0.8843416370106761,0.8991150442477877,0.900355871886121,0.896797153024911,0.896797153024911,0.8985765124555161,0.8985765124555161,0.891459074733096,0.896797153024911,0.900709219858156,0.004704590284226331,stand+SDML+kNN,balance-scale
477,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,32,0.896,0.8888888888888888,0.8666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9206349206349206,0.9016393442622951,1.0,100000,0.1,False,0.013898065295603343,2.3045246601104736,1501.827067399025,0.3225297451019287,0.8974222222222222,0.900355871886121,0.8973451327433628,0.896797153024911,0.895017793594306,0.900355871886121,0.8932384341637011,0.8985765124555161,0.8932384341637011,0.8985765124555161,0.900709219858156,0.0026808172198191076,stand+SDML+kNN,balance-scale
478,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,32,0.8896,0.8888888888888888,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9047619047619048,0.8888888888888888,0.9206349206349206,0.9016393442622951,1.0,100000,0.25,True,0.021228376341228226,2.309345841407776,1507.7379998922347,0.3231838226318359,0.8968888888888888,0.895017793594306,0.8920353982300885,0.900355871886121,0.8985765124555161,0.902135231316726,0.895017793594306,0.900355871886121,0.895017793594306,0.8932384341637011,0.8971631205673759,0.0031917463763576548,stand+SDML+kNN,balance-scale
479,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,32,0.8976,0.9047619047619048,0.8833333333333333,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9016393442622951,1.0,100000,0.25,False,0.008390104139223973,2.314167022705078,1513.662879896164,0.3238314151763916,0.8931555555555556,0.8985765124555161,0.8991150442477877,0.8932384341637011,0.896797153024911,0.891459074733096,0.8932384341637011,0.8861209964412812,0.891459074733096,0.895017793594306,0.8865248226950354,0.0042526804178760124,stand+SDML+kNN,balance-scale
480,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,64,0.8558718861209964,0.8571428571428571,0.8333333333333334,0.7936507936507936,0.8571428571428571,0.8571428571428571,0.8888888888888888,0.8253968253968254,0.9047619047619048,0.0,0.8852459016393442,0.1,10000,0.01,True,0.25863045768573084,2.3189882040023804,1514.3396841287613,0.3244229078292847,0.8583843571005333,0.8202846975088968,0.8654867256637168,0.8202846975088968,0.8469750889679716,0.8807829181494662,0.8861209964412812,0.8718861209964412,0.8523131672597865,0.0,0.8812056737588653,0.25849867514360964,stand+SDML+kNN,balance-scale
481,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,64,0.8540925266903915,0.9047619047619048,0.8666666666666667,0.7777777777777778,0.8253968253968254,0.8412698412698413,0.8253968253968254,0.8571428571428571,0.0,0.9047619047619048,0.8852459016393442,0.1,10000,0.01,False,0.2589798397461179,2.3238093852996826,1514.7156183004379,0.3250149726867676,0.8552241753900849,0.8825622775800712,0.8831858407079646,0.7544483985765125,0.8131672597864769,0.8362989323843416,0.8772241992882562,0.8647686832740213,0.0,0.8861209964412812,0.898936170212766,0.2598976312667573,stand+SDML+kNN,balance-scale
482,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,64,0.8752,0.9047619047619048,0.8333333333333334,0.9047619047619048,0.873015873015873,0.8412698412698413,0.8888888888888888,0.873015873015873,0.8571428571428571,0.9206349206349206,0.8524590163934426,0.1,10000,0.05,True,0.02784891324884193,2.328630566596985,1515.0855872869492,0.3256622552871704,0.8805333333333333,0.891459074733096,0.8106194690265487,0.8807829181494662,0.895017793594306,0.900355871886121,0.8932384341637011,0.8736654804270463,0.8807829181494662,0.895017793594306,0.8847517730496454,0.024589319712878012,stand+SDML+kNN,balance-scale
483,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,64,0.8352,0.8888888888888888,0.6333333333333333,0.7936507936507936,0.8412698412698413,0.8253968253968254,0.8253968253968254,0.873015873015873,0.873015873015873,0.9047619047619048,0.8852459016393442,0.1,10000,0.05,False,0.07468944028128095,2.333451747894287,1515.4565155744554,0.32631831169128417,0.8570666666666666,0.8825622775800712,0.7522123893805309,0.8398576512455516,0.8416370106761566,0.895017793594306,0.8558718861209964,0.8879003558718861,0.8523131672597865,0.8843416370106761,0.8794326241134752,0.03979677729000694,stand+SDML+kNN,balance-scale
484,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,64,0.8576,0.8571428571428571,0.8833333333333333,0.8412698412698413,0.7619047619047619,0.8571428571428571,0.873015873015873,0.8571428571428571,0.8571428571428571,0.8888888888888888,0.9016393442622951,0.1,10000,0.1,True,0.03639053768869856,2.3382729291915894,1515.8349385976792,0.32696995735168455,0.8528,0.8434163701067615,0.8938053097345132,0.8362989323843416,0.7491103202846975,0.8772241992882562,0.8736654804270463,0.8807829181494662,0.8078291814946619,0.8790035587188612,0.8865248226950354,0.04295885185547564,stand+SDML+kNN,balance-scale
485,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,64,0.8448,0.8888888888888888,0.8666666666666667,0.6031746031746031,0.8888888888888888,0.873015873015873,0.8888888888888888,0.8888888888888888,0.7936507936507936,0.9047619047619048,0.8524590163934426,0.1,10000,0.1,False,0.08585022211924055,2.3430941104888916,1516.2070811510087,0.3276383638381958,0.8561777777777778,0.8772241992882562,0.8336283185840708,0.708185053380783,0.8879003558718861,0.896797153024911,0.8701067615658363,0.8896797153024911,0.8327402135231317,0.8896797153024911,0.875886524822695,0.053745755321047396,stand+SDML+kNN,balance-scale
