,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,sdml__balance_param,sdml__num_constraints,sdml__sparsity_param,sdml__use_cov,std,time1,time2,time3,technique,dataset
28,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,1.0,0.65,0.7619047619047619,0.8095238095238095,0.9047619047619048,0.7142857142857143,0.7619047619047619,0.7619047619047619,0.95,1.0,0.25,100000,0.1,True,0.11742609969205692,0.07726895809173584,363.263624215126,0.020340919494628906,SDML+kNN,sonar
29,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.75,0.0,0.0,0.9047619047619048,0.0,0.0,0.7619047619047619,0.0,0.0,0.25,100000,0.1,False,0.3711556537012152,0.07993340492248535,389.56896743774416,0.020537781715393066,SDML+kNN,sonar
30,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,1.0,0.65,0.7619047619047619,0.8095238095238095,0.9047619047619048,0.7142857142857143,0.7619047619047619,0.7619047619047619,0.95,1.0,0.25,100000,0.25,True,0.11742609969205692,0.08259785175323486,415.351140832901,0.021195602416992188,SDML+kNN,sonar
31,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.7,0.0,0.0,0.9047619047619048,0.6190476190476191,0.0,0.8095238095238095,0.0,0.0,0.25,100000,0.25,False,0.3777607372440585,0.08526229858398438,443.12843296527865,0.02145676612854004,SDML+kNN,sonar
32,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.8,0.7619047619047619,0.7619047619047619,0.9047619047619048,0.6666666666666666,0.8095238095238095,0.8095238095238095,0.75,0.0,0.5,10000,0.01,True,0.31828702872260006,0.08792674541473389,443.92260632514956,0.021981167793273925,SDML+kNN,sonar
33,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,10000,0.01,False,0.0,0.0905911922454834,444.81787984371186,0.021981167793273925,SDML+kNN,sonar
34,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9090909090909091,0.85,0.7142857142857143,0.0,0.9523809523809523,0.7619047619047619,0.8095238095238095,0.8571428571428571,0.9,1.0,0.5,10000,0.05,True,0.27087627291712857,0.09325563907623291,445.73966269493104,0.022574996948242186,SDML+kNN,sonar
35,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.0,0.0,0.8095238095238095,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.5,10000,0.05,False,0.28127503667852116,0.09592008590698242,447.16635665893557,0.022705721855163574,SDML+kNN,sonar
36,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9545454545454546,0.75,0.0,0.0,0.9523809523809523,0.7142857142857143,0.7619047619047619,0.7619047619047619,0.8,1.0,0.5,10000,0.1,True,0.3477868362344328,0.09858453273773193,448.1127895116806,0.023223733901977538,SDML+kNN,sonar
37,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9545454545454546,0.75,0.7619047619047619,0.8095238095238095,0.8571428571428571,0.0,0.9047619047619048,0.0,0.0,0.0,0.5,10000,0.1,False,0.415301144100999,0.10124897956848145,450.4939971446991,0.02361752986907959,SDML+kNN,sonar
