,error,knn__n_neighbors,mean,rca__chunk_size,rca__num_chunks,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
36,Cascading:Unable to make 50 chunks of 32 examples each,1,0.0,32,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14907255172729492,0.6609731435775756,0.014851593971252441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
37,Cascading:Unable to make 100 chunks of 32 examples each,1,0.0,32,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1531015396118164,0.6624946117401123,0.014851593971252441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
38,Cascading:Unable to make 500 chunks of 32 examples each,1,0.0,32,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15713052749633788,0.6649085998535156,0.014851593971252441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
39,Cascading:Unable to make 1000 chunks of 32 examples each,1,0.0,32,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16115951538085938,0.6666057109832764,0.014851593971252441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
40,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16518850326538087,0.8330745935440064,0.015431976318359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
41,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0.0,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16921749114990234,0.8751259565353393,0.0160092830657959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
42,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0.0,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17324647903442383,0.9177041530609131,0.016589713096618653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
43,Cascading:Unable to make 500 chunks of 1 examples each,2,0.0,1,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1772754669189453,0.9572778940200806,0.016589713096618653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
44,Cascading:Unable to make 1000 chunks of 1 examples each,2,0.0,1,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1813044548034668,0.9758456230163575,0.016589713096618653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
45,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0.0,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1853334426879883,0.9836760520935058,0.017169785499572755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
46,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0.8899521531100478,2,50,0.0,0.8529411764705882,0.0,0.9444444444444444,0.9444444444444444,0.0,0.8571428571428571,0.8823529411764706,0.0,0.8529411764705882,0.43666554971893357,0.18936243057250976,1.0128856897354126,0.017804169654846193,0.9773326304691619,0.0,0.9716088328075709,0.0,0.9841269841269841,0.9777777777777777,0.0,0.9746835443037974,0.9810725552050473,0.0,0.9747634069400631,0.4788074431401117,stand+RCA+kNN,ionosphere
47,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0.9057377049180327,2,100,0.0,0.9705882352941176,0.0,0.9166666666666666,0.8888888888888888,0.8888888888888888,0.0,0.7941176470588235,0.9705882352941176,0.9117647058823529,0.4177414371152794,0.19339141845703126,1.0566489458084107,0.01845395565032959,0.9868956168097605,0.0,0.9905362776025236,0.0,0.9873015873015873,0.9746031746031746,0.9968253968253968,0.0,0.9873817034700315,0.9873817034700315,0.9842271293375394,0.4522815074811823,stand+RCA+kNN,ionosphere
48,Cascading:Unable to make 500 chunks of 2 examples each,2,0.0,2,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19742040634155272,1.0706307411193847,0.01845395565032959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
49,Cascading:Unable to make 1000 chunks of 2 examples each,2,0.0,2,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20144939422607422,1.0813677787780762,0.01845395565032959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
50,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0.0,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20547838211059571,1.0853459596633912,0.019028782844543457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
51,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0.8790035587188612,3,50,0.8888888888888888,0.9117647058823529,0.8611111111111112,0.0,0.8888888888888888,0.9166666666666666,0.8571428571428571,0.8235294117647058,0.8823529411764706,0.0,0.35245105382594244,0.20950736999511718,1.1057120561599731,0.019678568840026854,0.9845666798575385,0.9904761904761905,0.9779179810725552,0.9904761904761905,0.0,0.9841269841269841,0.9904761904761905,0.9810126582278481,0.9842271293375394,0.9779179810725552,0.0,0.39385773241300714,stand+RCA+kNN,ionosphere
