,cmaesfme__s__n_gen,cmaesfme__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
15,250,diagonal,,4,0.7776,0.8412698412698413,0.7166666666666667,0.7777777777777778,0.8571428571428571,0.7619047619047619,0.7777777777777778,0.8095238095238095,0.7936507936507936,0.6666666666666666,0.7704918032786885,0.05288922400670985,0.06652603149414063,786.4779314994812,0.02257091999053955,0.8538666666666667,0.8256227758007118,0.8654867256637168,0.8718861209964412,0.8469750889679716,0.8309608540925267,0.8558718861209964,0.8665480427046264,0.8807829181494662,0.8113879003558719,0.8829787234042553,0.023175183835608276,CMAESFme+kNN,balance-scale
16,500,full,,4,0.8784,0.9047619047619048,0.85,0.9206349206349206,0.9047619047619048,0.873015873015873,0.8412698412698413,0.8412698412698413,0.9206349206349206,0.8888888888888888,0.8360655737704918,0.03232926955513521,0.07068390846252441,921.1744338274002,0.023720383644104004,0.9178666666666667,0.905693950177936,0.9221238938053097,0.9181494661921709,0.9501779359430605,0.9252669039145908,0.8505338078291815,0.905693950177936,0.9697508896797153,0.902135231316726,0.9290780141843972,0.030020316623161077,CMAESFme+kNN,balance-scale
17,500,diagonal,,4,0.784,0.8412698412698413,0.7166666666666667,0.7301587301587301,0.8095238095238095,0.8888888888888888,0.7142857142857143,0.7936507936507936,0.7936507936507936,0.7142857142857143,0.8360655737704918,0.059146141248065914,0.0748417854309082,978.7942524433136,0.024889707565307617,0.8435555555555555,0.8434163701067615,0.856637168141593,0.8398576512455516,0.8576512455516014,0.8790035587188612,0.8256227758007118,0.8185053380782918,0.8327402135231317,0.8131672597864769,0.8687943262411347,0.020655708622163538,CMAESFme+kNN,balance-scale
18,100,full,,8,0.8864,0.9047619047619048,0.85,0.8571428571428571,0.8571428571428571,0.9047619047619048,0.9047619047619048,0.8571428571428571,0.8888888888888888,0.9365079365079365,0.9016393442622951,0.02766488968041908,0.07899966239929199,1005.0654864788055,0.02604084014892578,0.9226666666666666,0.9288256227758007,0.9238938053097345,0.9163701067615658,0.891459074733096,0.9128113879003559,0.9430604982206405,0.9145907473309609,0.9501779359430605,0.9412811387900356,0.9042553191489362,0.01753168647895656,CMAESFme+kNN,balance-scale
19,100,diagonal,,8,0.8256,0.873015873015873,0.8333333333333334,0.8412698412698413,0.8412698412698413,0.7301587301587301,0.8253968253968254,0.8571428571428571,0.8412698412698413,0.9047619047619048,0.7049180327868853,0.0582908873966461,0.08315753936767578,1016.4517774581909,0.02721850872039795,0.8657777777777778,0.8807829181494662,0.8743362831858407,0.8736654804270463,0.8416370106761566,0.8362989323843416,0.8594306049822064,0.8754448398576512,0.8629893238434164,0.9039145907473309,0.849290780141844,0.019183713957979527,CMAESFme+kNN,balance-scale
20,250,full,,8,0.8864,0.8412698412698413,0.8666666666666667,0.9523809523809523,0.9206349206349206,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.873015873015873,0.9047619047619048,0.8360655737704918,0.033195542120595,0.08731541633605958,1084.0997364282607,0.028370046615600587,0.9150222222222222,0.891459074733096,0.9256637168141593,0.9430604982206405,0.9252669039145908,0.9181494661921709,0.9092526690391459,0.9270462633451957,0.9039145907473309,0.9163701067615658,0.8900709219858156,0.015795474874977778,CMAESFme+kNN,balance-scale
21,250,diagonal,,8,0.8272,0.8412698412698413,0.8333333333333334,0.7936507936507936,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8888888888888888,0.8412698412698413,0.8095238095238095,0.8360655737704918,0.02587076197057306,0.09147329330444336,1112.742682313919,0.02954411506652832,0.8618666666666667,0.8434163701067615,0.9185840707964602,0.8647686832740213,0.8291814946619217,0.8434163701067615,0.8665480427046264,0.8843416370106761,0.8558718861209964,0.8220640569395018,0.8900709219858156,0.028137379874171736,CMAESFme+kNN,balance-scale
22,500,full,,8,0.8992,0.9047619047619048,0.8833333333333333,0.9047619047619048,0.9206349206349206,0.9047619047619048,0.8888888888888888,0.8571428571428571,0.9365079365079365,0.873015873015873,0.9180327868852459,0.02260817456762987,0.09563117027282715,1247.439184641838,0.030698251724243165,0.9148444444444445,0.905693950177936,0.9185840707964602,0.8932384341637011,0.9341637010676157,0.9092526690391459,0.9163701067615658,0.8825622775800712,0.9501779359430605,0.902135231316726,0.9361702127659575,0.01969332576773807,CMAESFme+kNN,balance-scale
23,500,diagonal,,8,0.808,0.9047619047619048,0.6666666666666666,0.8253968253968254,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.8095238095238095,0.8253968253968254,0.746031746031746,0.7377049180327869,0.07260746349357212,0.09978904724121093,1305.0590032577516,0.031879305839538574,0.8641777777777778,0.8932384341637011,0.863716814159292,0.8647686832740213,0.9092526690391459,0.9074733096085409,0.8398576512455516,0.8327402135231317,0.8398576512455516,0.8309608540925267,0.8599290780141844,0.028361955677128087,CMAESFme+kNN,balance-scale
24,100,full,,16,0.8848,0.8888888888888888,0.8833333333333333,0.873015873015873,0.8571428571428571,0.873015873015873,0.8888888888888888,0.8412698412698413,0.9206349206349206,0.9206349206349206,0.9016393442622951,0.02413490769410585,0.10394692420959473,1331.3302372932435,0.03303074836730957,0.9041777777777777,0.902135231316726,0.8849557522123894,0.9270462633451957,0.8861209964412812,0.9199288256227758,0.895017793594306,0.900355871886121,0.9234875444839857,0.9217081850533808,0.8812056737588653,0.0166648656281969,CMAESFme+kNN,balance-scale
25,100,diagonal,,16,0.8128,0.873015873015873,0.85,0.7619047619047619,0.8095238095238095,0.7619047619047619,0.873015873015873,0.8888888888888888,0.7936507936507936,0.9206349206349206,0.5901639344262295,0.09009756956935042,0.10810480117797852,1342.7165282726287,0.034212708473205566,0.8353777777777778,0.8683274021352313,0.8707964601769912,0.7864768683274022,0.802491103202847,0.8113879003558719,0.8274021352313167,0.8736654804270463,0.8380782918149466,0.905693950177936,0.7695035460992907,0.04148389742456808,CMAESFme+kNN,balance-scale
26,250,full,,16,0.8976,0.8888888888888888,0.8666666666666667,0.9523809523809523,0.9206349206349206,0.9047619047619048,0.8888888888888888,0.873015873015873,0.873015873015873,0.9365079365079365,0.8688524590163934,0.028705277086219005,0.1122626781463623,1410.3644872426987,0.035254693031311034,0.9056,0.8701067615658363,0.911504424778761,0.9377224199288257,0.9181494661921709,0.9145907473309609,0.902135231316726,0.9110320284697508,0.895017793594306,0.895017793594306,0.900709219858156,0.016894384151253376,CMAESFme+kNN,balance-scale
27,250,diagonal,,16,0.8112,0.8412698412698413,0.8666666666666667,0.8253968253968254,0.7936507936507936,0.8412698412698413,0.746031746031746,0.8412698412698413,0.7619047619047619,0.7619047619047619,0.8360655737704918,0.04002839468648703,0.1164205551147461,1439.007433128357,0.03588402271270752,0.8291555555555555,0.8149466192170819,0.9150442477876106,0.8523131672597865,0.8131672597864769,0.8149466192170819,0.806049822064057,0.8594306049822064,0.7633451957295374,0.7704626334519573,0.8812056737588653,0.045285809311967656,CMAESFme+kNN,balance-scale
