,error,knn__n_neighbors,mean,nca__learn_rate,nca__max_iter,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
36,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.11902480125427246,4056.820959329605,0.02245166301727295,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
37,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.1222416877746582,4121.953897738456,0.02302088737487793,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
38,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.12545857429504395,4251.172470259667,0.02357785701751709,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
39,"Input contains NaN, infinity or a value too large for dtype('float64').",16,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.1286754608154297,4470.957087993622,0.024142527580261232,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
40,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.13189234733581542,4484.483191466332,0.024701428413391114,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
41,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.13510923385620116,4547.929267787933,0.02528059482574463,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
42,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.13832612037658693,4675.9811465263365,0.025837111473083495,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
43,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.14154300689697266,4937.929733419418,0.026403164863586424,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
44,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.1447598934173584,4951.012376928329,0.02695910930633545,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
45,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.14797677993774414,5016.145315337181,0.027524662017822266,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
46,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.15119366645812987,5145.363887858391,0.02808220386505127,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
47,"Input contains NaN, infinity or a value too large for dtype('float64').",32,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.15441055297851564,5365.148505592346,0.028664398193359374,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
48,"Input contains NaN, infinity or a value too large for dtype('float64').",64,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.15762743949890137,5378.674609065056,0.029221701622009277,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
49,"Input contains NaN, infinity or a value too large for dtype('float64').",64,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.1608443260192871,5442.120685386658,0.029788446426391602,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
50,"Input contains NaN, infinity or a value too large for dtype('float64').",64,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.16406121253967285,5570.172564125061,0.030350780487060545,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
51,"Input contains NaN, infinity or a value too large for dtype('float64').",64,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.16727809906005858,5832.121151018143,0.03091769218444824,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
52,"Input contains NaN, infinity or a value too large for dtype('float64').",64,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.17049498558044435,5845.203794527054,0.03148758411407471,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
53,"Input contains NaN, infinity or a value too large for dtype('float64').",64,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.17371187210083008,5910.336732935905,0.03204653263092041,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
54,"Input contains NaN, infinity or a value too large for dtype('float64').",64,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.17692875862121582,6039.5553054571155,0.03261344432830811,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
55,"Input contains NaN, infinity or a value too large for dtype('float64').",64,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.18014564514160156,6259.339923191071,0.03316981792449951,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
56,"Input contains NaN, infinity or a value too large for dtype('float64').",128,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.1833625316619873,6272.86602666378,0.033739542961120604,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
57,"Input contains NaN, infinity or a value too large for dtype('float64').",128,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.18657941818237306,6336.312102985382,0.03429467678070068,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
58,"Input contains NaN, infinity or a value too large for dtype('float64').",128,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.1897963047027588,6464.363981723785,0.03486006259918213,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
59,"Input contains NaN, infinity or a value too large for dtype('float64').",128,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.19301319122314453,6726.312568616867,0.03541662693023682,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
60,"Input contains NaN, infinity or a value too large for dtype('float64').",128,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.19623007774353027,6739.395212125778,0.0359865665435791,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
61,"Input contains NaN, infinity or a value too large for dtype('float64').",128,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.199446964263916,6804.52815053463,0.036546182632446286,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
62,"Input contains NaN, infinity or a value too large for dtype('float64').",128,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.20266385078430177,6933.7467230558395,0.037112998962402347,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
63,"Input contains NaN, infinity or a value too large for dtype('float64').",128,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.2058807373046875,7153.531340789795,0.03767120838165283,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,wine
