,error,jdeknn__f__n_neighbors,jdeknn__f__weights,jdeknn__s__n_gen,jdeknn__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
136,,16,uniform,500,full,4,0.9296,0.9206349206349206,0.9333333333333333,0.9206349206349206,0.9365079365079365,0.9365079365079365,0.9047619047619048,0.9523809523809523,0.9365079365079365,0.9047619047619048,0.9508196721311475,0.015877271710770562,0.35422744750976565,9398.54511461258,0.10762736797332764,0.9628444444444444,0.9839857651245552,0.9663716814159292,0.9590747330960854,0.9679715302491103,0.9697508896797153,0.9626334519572953,0.9661921708185054,0.9626334519572953,0.9252669039145908,0.9645390070921985,0.014049316352106123,JDEkNN+kNN,balance-scale
137,,16,uniform,500,diagonal,4,0.8096,0.9047619047619048,0.7666666666666667,0.8095238095238095,0.8412698412698413,0.7777777777777778,0.8412698412698413,0.7777777777777778,0.7936507936507936,0.7936507936507936,0.7868852459016393,0.039942809083865535,0.35681304931640623,9454.126077771187,0.10829517841339112,0.8672,0.8879003558718861,0.8920353982300885,0.8612099644128114,0.8523131672597865,0.8576512455516014,0.8807829181494662,0.8451957295373665,0.8665480427046264,0.8718861209964412,0.8563829787234043,0.01483932003810597,JDEkNN+kNN,balance-scale
138,,16,distance,100,full,4,0.904,0.9047619047619048,0.8833333333333333,0.9047619047619048,0.9365079365079365,0.9206349206349206,0.9206349206349206,0.873015873015873,0.9523809523809523,0.8888888888888888,0.8524590163934426,0.028676373445023436,0.35939865112304686,9500.744004964828,0.10895037651062012,0.9511111111111111,0.9430604982206405,0.9451327433628318,0.9644128113879004,0.9697508896797153,0.9679715302491103,0.9590747330960854,0.9377224199288257,0.9661921708185054,0.9270462633451957,0.9308510638297872,0.015391242894123063,JDEkNN+kNN,balance-scale
139,,16,distance,100,diagonal,4,0.8112,0.7777777777777778,0.6833333333333333,0.7936507936507936,0.8412698412698413,0.8412698412698413,0.8888888888888888,0.8095238095238095,0.8412698412698413,0.8253968253968254,0.8032786885245902,0.05175532839329661,0.3619842529296875,9512.474459338187,0.1096151351928711,0.8645333333333334,0.8594306049822064,0.8619469026548673,0.8754448398576512,0.8594306049822064,0.8807829181494662,0.8523131672597865,0.8701067615658363,0.8612099644128114,0.8594306049822064,0.8652482269503546,0.00812320452264246,JDEkNN+kNN,balance-scale
140,,16,distance,250,full,4,0.9456,0.9523809523809523,0.95,0.9523809523809523,0.9365079365079365,0.9365079365079365,0.9523809523809523,0.8888888888888888,0.9682539682539683,0.9682539682539683,0.9508196721311475,0.021429934108627226,0.36456985473632814,9628.70998327732,0.11026642322540284,0.9658666666666667,0.9679715302491103,0.968141592920354,0.9679715302491103,0.9733096085409253,0.9626334519572953,0.9626334519572953,0.9519572953736655,0.9679715302491103,0.9697508896797153,0.9663120567375887,0.005509333277886403,JDEkNN+kNN,balance-scale
141,,16,distance,250,diagonal,4,0.8176,0.8253968253968254,0.7166666666666667,0.8571428571428571,0.8412698412698413,0.8253968253968254,0.8888888888888888,0.7936507936507936,0.8253968253968254,0.8095238095238095,0.7868852459016393,0.04376614767881319,0.36715545654296877,9658.101316809654,0.11093592643737793,0.8652444444444445,0.8540925266903915,0.8654867256637168,0.8469750889679716,0.8612099644128114,0.8754448398576512,0.8487544483985765,0.8718861209964412,0.8861209964412812,0.8790035587188612,0.8634751773049646,0.012340276352799082,JDEkNN+kNN,balance-scale
142,,16,distance,500,full,4,0.9344,0.9682539682539683,0.95,0.9206349206349206,0.9047619047619048,0.9047619047619048,0.9365079365079365,0.9365079365079365,0.9047619047619048,0.9841269841269841,0.9344262295081968,0.025876212566823927,0.36974105834960935,9887.66926009655,0.11158626079559326,0.9617777777777777,0.9644128113879004,0.9646017699115044,0.9644128113879004,0.9644128113879004,0.9644128113879004,0.9661921708185054,0.9697508896797153,0.9270462633451957,0.9626334519572953,0.9698581560283688,0.011794526328088481,JDEkNN+kNN,balance-scale
143,,16,distance,500,diagonal,4,0.8096,0.7619047619047619,0.7666666666666667,0.8095238095238095,0.8571428571428571,0.8412698412698413,0.8571428571428571,0.7777777777777778,0.7936507936507936,0.8253968253968254,0.8032786885245902,0.03346305971458271,0.37232666015625,9946.503967237473,0.11224577426910401,0.8650666666666667,0.8594306049822064,0.8654867256637168,0.8718861209964412,0.8736654804270463,0.8754448398576512,0.8665480427046264,0.8558718861209964,0.8540925266903915,0.8540925266903915,0.874113475177305,0.008182537879028357,JDEkNN+kNN,balance-scale
144,,1,uniform,100,full,8,0.9344,0.9523809523809523,0.9333333333333333,0.9047619047619048,0.9841269841269841,0.9206349206349206,0.9047619047619048,0.9365079365079365,0.9365079365079365,0.9523809523809523,0.9180327868852459,0.023116208031117216,0.3749122619628906,9981.08534476757,0.11289782524108886,0.9564444444444444,0.9697508896797153,0.9557522123893806,0.9395017793594306,0.9661921708185054,0.9555160142348754,0.9555160142348754,0.9750889679715302,0.9519572953736655,0.9483985765124555,0.9468085106382979,0.010424377852434892,JDEkNN+kNN,balance-scale
145,,1,uniform,100,diagonal,8,0.856,0.9206349206349206,0.8,0.873015873015873,0.8571428571428571,0.8412698412698413,0.9206349206349206,0.8253968253968254,0.873015873015873,0.873015873015873,0.7704918032786885,0.04563283871350864,0.37749786376953126,9989.444190955162,0.11356496810913086,0.8940444444444444,0.9181494661921709,0.9026548672566371,0.9110320284697508,0.8772241992882562,0.8825622775800712,0.9039145907473309,0.891459074733096,0.891459074733096,0.895017793594306,0.8670212765957447,0.014834139970754974,JDEkNN+kNN,balance-scale
146,,1,uniform,250,full,8,0.9408,0.9523809523809523,0.8666666666666667,0.9365079365079365,0.9841269841269841,0.9365079365079365,0.9206349206349206,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9508196721311475,0.02907282000156115,0.3800834655761719,10073.447240757941,0.11421840190887451,0.9605333333333334,0.9590747330960854,0.9539823008849557,0.9608540925266904,0.9750889679715302,0.9626334519572953,0.9555160142348754,0.9608540925266904,0.9697508896797153,0.9483985765124555,0.9592198581560284,0.007215542464560677,JDEkNN+kNN,balance-scale
147,,1,uniform,250,diagonal,8,0.8608,0.8888888888888888,0.7666666666666667,0.7777777777777778,0.8888888888888888,0.8571428571428571,0.8888888888888888,0.9047619047619048,0.873015873015873,0.8888888888888888,0.8688524590163934,0.04589991643091118,0.3826690673828125,10094.271471524238,0.11488087177276611,0.8917333333333334,0.900355871886121,0.8778761061946903,0.8523131672597865,0.891459074733096,0.8843416370106761,0.900355871886121,0.895017793594306,0.9199288256227758,0.8985765124555161,0.8971631205673759,0.01682695999772059,JDEkNN+kNN,balance-scale
148,,1,uniform,500,full,8,0.9328,0.9365079365079365,0.9166666666666666,0.9523809523809523,0.9682539682539683,0.9047619047619048,0.9047619047619048,0.9365079365079365,0.9523809523809523,0.9523809523809523,0.9016393442622951,0.02288657716937575,0.3852546691894531,10261.150438976289,0.11552727222442627,0.9601777777777778,0.9590747330960854,0.9646017699115044,0.9608540925266904,0.9679715302491103,0.9537366548042705,0.9555160142348754,0.9644128113879004,0.9555160142348754,0.9661921708185054,0.9539007092198581,0.00510343570408886,JDEkNN+kNN,balance-scale
149,,1,uniform,500,diagonal,8,0.848,0.8888888888888888,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8888888888888888,0.7936507936507936,0.8253968253968254,0.8888888888888888,0.8095238095238095,0.8360655737704918,0.032381275345877945,0.38784027099609375,10302.71743092537,0.11615569591522217,0.8842666666666666,0.8985765124555161,0.8973451327433628,0.896797153024911,0.8629893238434164,0.896797153024911,0.8629893238434164,0.902135231316726,0.8861209964412812,0.8505338078291815,0.8882978723404256,0.017527619893235476,JDEkNN+kNN,balance-scale
