,error,knn__n_neighbors,lfda__k,lfda__metric,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
10,,2,3,weighted,0.9775,0.975,1.0,0.975,0.975,0.975,0.95,0.925,1.0,1.0,1.0,0.023584952830141503,0.02046811580657959,0.2792683124542236,0.0052498579025268555,0.9947222222222222,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.9972222222222222,0.9944444444444445,0.9972222222222222,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.0014958791130929125,LFDA+kNN,gaussians
11,,2,3,orthonormalized,0.2775,0.275,0.25,0.275,0.35,0.275,0.225,0.35,0.2,0.25,0.325,0.048023431780746355,0.022328853607177734,0.3135719299316406,0.005708241462707519,0.6263888888888889,0.6361111111111111,0.6388888888888888,0.6166666666666667,0.6027777777777777,0.6333333333333333,0.6361111111111111,0.625,0.625,0.6305555555555555,0.6194444444444445,0.010559209893748993,LFDA+kNN,gaussians
12,,4,1,weighted,0.98,0.975,1.0,0.975,0.975,0.975,0.95,0.95,1.0,1.0,1.0,0.018708286933869722,0.02418959140777588,0.33482728004455564,0.006140756607055664,0.9913888888888889,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9888888888888889,0.9944444444444445,0.9888888888888889,0.9916666666666667,0.9916666666666667,0.9888888888888889,0.9888888888888889,0.002307395517477235,LFDA+kNN,gaussians
13,,4,1,orthonormalized,0.2425,0.25,0.175,0.225,0.375,0.175,0.225,0.325,0.15,0.275,0.25,0.06619101147436864,0.026050329208374023,0.3544311046600342,0.00656733512878418,0.5511111111111111,0.575,0.5444444444444444,0.5527777777777778,0.5444444444444444,0.5611111111111111,0.5666666666666667,0.525,0.5638888888888889,0.5416666666666666,0.5361111111111111,0.014709113660970803,LFDA+kNN,gaussians
14,,4,2,weighted,0.985,1.0,1.0,0.975,0.975,1.0,0.95,0.95,1.0,1.0,1.0,0.020000000000000018,0.027911067008972168,0.37585370540618895,0.007024455070495606,0.9902777777777778,0.9916666666666667,0.9888888888888889,0.9916666666666667,0.9833333333333333,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.9861111111111112,0.9916666666666667,0.9888888888888889,0.003344887382997871,LFDA+kNN,gaussians
15,,4,2,orthonormalized,0.2425,0.25,0.175,0.225,0.375,0.175,0.225,0.325,0.15,0.275,0.25,0.06619101147436864,0.029771804809570312,0.40863819122314454,0.0074608087539672855,0.5511111111111111,0.575,0.5444444444444444,0.5527777777777778,0.5444444444444444,0.5611111111111111,0.5666666666666667,0.525,0.5638888888888889,0.5416666666666666,0.5361111111111111,0.014709113660970803,LFDA+kNN,gaussians
16,,4,3,weighted,0.9825,0.975,1.0,0.975,0.975,1.0,0.95,0.95,1.0,1.0,1.0,0.019525624189766652,0.03163254261016846,0.43605427742004393,0.00789330005645752,0.9913888888888889,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9888888888888889,0.9944444444444445,0.9888888888888889,0.9944444444444445,0.9916666666666667,0.9916666666666667,0.9888888888888889,0.0019444444444444374,LFDA+kNN,gaussians
17,,4,3,orthonormalized,0.2425,0.25,0.175,0.225,0.375,0.175,0.225,0.325,0.15,0.275,0.25,0.06619101147436864,0.0334932804107666,0.47035789489746094,0.008320093154907227,0.5511111111111111,0.575,0.5444444444444444,0.5527777777777778,0.5444444444444444,0.5611111111111111,0.5666666666666667,0.525,0.5638888888888889,0.5416666666666666,0.5361111111111111,0.014709113660970803,LFDA+kNN,gaussians
18,,8,1,weighted,0.9825,0.975,1.0,0.975,0.975,0.975,0.95,0.975,1.0,1.0,1.0,0.01600781059358214,0.035354018211364746,0.49161324501037595,0.008740663528442383,0.9866666666666667,0.9833333333333333,0.9861111111111112,0.9888888888888889,0.9861111111111112,0.9861111111111112,0.9888888888888889,0.9916666666666667,0.9861111111111112,0.9805555555555555,0.9888888888888889,0.00299175822618586,LFDA+kNN,gaussians
19,,8,1,orthonormalized,0.2525,0.25,0.225,0.35,0.4,0.2,0.15,0.35,0.225,0.2,0.175,0.08019507466172719,0.03721475601196289,0.5112170696258544,0.009167146682739259,0.4263888888888889,0.4361111111111111,0.42777777777777776,0.42777777777777776,0.4,0.4361111111111111,0.4388888888888889,0.40555555555555556,0.41944444444444445,0.4166666666666667,0.45555555555555555,0.015725755394131284,LFDA+kNN,gaussians
20,,8,2,weighted,0.9825,0.975,1.0,0.975,0.975,0.975,0.95,0.975,1.0,1.0,1.0,0.01600781059358214,0.039075493812561035,0.5326396703720093,0.00958871841430664,0.9858333333333333,0.9861111111111112,0.9805555555555555,0.9888888888888889,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9888888888888889,0.9833333333333333,0.9861111111111112,0.9861111111111112,0.0023073955174772722,LFDA+kNN,gaussians
21,,8,2,orthonormalized,0.2525,0.25,0.225,0.35,0.4,0.2,0.15,0.35,0.225,0.2,0.175,0.08019507466172719,0.04093623161315918,0.5654241561889648,0.010012173652648925,0.4263888888888889,0.4361111111111111,0.42777777777777776,0.42777777777777776,0.4,0.4361111111111111,0.4388888888888889,0.40555555555555556,0.41944444444444445,0.4166666666666667,0.45555555555555555,0.015725755394131284,LFDA+kNN,gaussians
22,,8,3,weighted,0.9825,0.975,1.0,0.975,0.975,0.975,0.95,0.975,1.0,1.0,1.0,0.01600781059358214,0.042796969413757324,0.5928402423858643,0.010439014434814453,0.9872222222222222,0.9861111111111112,0.9833333333333333,0.9916666666666667,0.9861111111111112,0.9861111111111112,0.9888888888888889,0.9888888888888889,0.9833333333333333,0.9861111111111112,0.9916666666666667,0.002832788618662679,LFDA+kNN,gaussians
23,,8,3,orthonormalized,0.2525,0.25,0.225,0.35,0.4,0.2,0.15,0.35,0.225,0.2,0.175,0.08019507466172719,0.04465770721435547,0.6271438598632812,0.010868549346923828,0.4263888888888889,0.4361111111111111,0.42777777777777776,0.42777777777777776,0.4,0.4361111111111111,0.4388888888888889,0.40555555555555556,0.41944444444444445,0.4166666666666667,0.45555555555555555,0.015725755394131284,LFDA+kNN,gaussians
24,,16,1,weighted,0.9825,0.975,1.0,0.975,0.975,0.975,0.95,0.975,1.0,1.0,1.0,0.01600781059358214,0.04651844501495361,0.6483992099761963,0.011310076713562012,0.9869444444444444,0.9888888888888889,0.9861111111111112,0.9888888888888889,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9888888888888889,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.0012729376930432845,LFDA+kNN,gaussians
25,,16,1,orthonormalized,0.27,0.325,0.225,0.325,0.3,0.275,0.225,0.275,0.25,0.25,0.25,0.035,0.04837918281555176,0.6680030345916748,0.011761975288391114,0.40305555555555556,0.4166666666666667,0.41944444444444445,0.4,0.39166666666666666,0.4222222222222222,0.4027777777777778,0.375,0.3972222222222222,0.4027777777777778,0.4027777777777778,0.013347793085259962,LFDA+kNN,gaussians
26,,16,2,weighted,0.985,0.975,1.0,0.975,0.975,1.0,0.95,0.975,1.0,1.0,1.0,0.016583123951777013,0.0502399206161499,0.6894256353378296,0.01220250129699707,0.9866666666666667,0.9888888888888889,0.9861111111111112,0.9888888888888889,0.9861111111111112,0.9833333333333333,0.9888888888888889,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.001666666666666683,LFDA+kNN,gaussians
27,,16,2,orthonormalized,0.27,0.325,0.225,0.325,0.3,0.275,0.225,0.275,0.25,0.25,0.25,0.035,0.05210065841674805,0.7222101211547851,0.012655067443847656,0.40305555555555556,0.4166666666666667,0.41944444444444445,0.4,0.39166666666666666,0.4222222222222222,0.4027777777777778,0.375,0.3972222222222222,0.4027777777777778,0.4027777777777778,0.013347793085259962,LFDA+kNN,gaussians
28,,16,3,weighted,0.9825,0.975,1.0,0.975,0.975,0.975,0.95,0.975,1.0,1.0,1.0,0.01600781059358214,0.05396139621734619,0.7496262073516846,0.013089823722839355,0.9872222222222222,0.9888888888888889,0.9861111111111112,0.9888888888888889,0.9888888888888889,0.9861111111111112,0.9888888888888889,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.0013608276348795385,LFDA+kNN,gaussians
29,,16,3,orthonormalized,0.27,0.325,0.225,0.325,0.3,0.275,0.225,0.275,0.25,0.25,0.25,0.035,0.055822134017944336,0.7839298248291016,0.01353442668914795,0.40305555555555556,0.4166666666666667,0.41944444444444445,0.4,0.39166666666666666,0.4222222222222222,0.4027777777777778,0.375,0.3972222222222222,0.4027777777777778,0.4027777777777778,0.013347793085259962,LFDA+kNN,gaussians
30,,32,1,weighted,0.98,0.975,1.0,0.975,0.975,0.975,0.95,0.95,1.0,1.0,1.0,0.018708286933869722,0.05768287181854248,0.8051851749420166,0.013966822624206543,0.9825,0.9861111111111112,0.9833333333333333,0.9805555555555555,0.9833333333333333,0.9861111111111112,0.9833333333333333,0.9861111111111112,0.9805555555555555,0.9694444444444444,0.9861111111111112,0.004819264325804869,LFDA+kNN,gaussians
31,,32,1,orthonormalized,0.23,0.25,0.3,0.25,0.225,0.175,0.225,0.275,0.2,0.15,0.25,0.04301162633521314,0.059543609619140625,0.8247889995574951,0.014391493797302247,0.3422222222222222,0.32222222222222224,0.3194444444444444,0.35555555555555557,0.34444444444444444,0.33611111111111114,0.35,0.34444444444444444,0.36944444444444446,0.3527777777777778,0.3277777777777778,0.015051352426826746,LFDA+kNN,gaussians
32,,32,2,weighted,0.98,0.975,1.0,0.975,0.95,0.975,0.95,0.975,1.0,1.0,1.0,0.018708286933869722,0.06140434741973877,0.84621160030365,0.014813089370727539,0.9816666666666667,0.9888888888888889,0.9777777777777777,0.9805555555555555,0.9805555555555555,0.9777777777777777,0.9888888888888889,0.9833333333333333,0.9777777777777777,0.9833333333333333,0.9777777777777777,0.004157397096415515,LFDA+kNN,gaussians
33,,32,2,orthonormalized,0.23,0.25,0.3,0.25,0.225,0.175,0.225,0.275,0.2,0.15,0.25,0.04301162633521314,0.06326508522033691,0.8789960861206054,0.015239214897155762,0.3422222222222222,0.32222222222222224,0.3194444444444444,0.35555555555555557,0.34444444444444444,0.33611111111111114,0.35,0.34444444444444444,0.36944444444444446,0.3527777777777778,0.3277777777777778,0.015051352426826746,LFDA+kNN,gaussians
34,,32,3,weighted,0.9825,0.975,1.0,0.975,0.95,1.0,0.95,0.975,1.0,1.0,1.0,0.019525624189766652,0.06512582302093506,0.9064121723175049,0.015657639503479003,0.9836111111111111,0.9861111111111112,0.9777777777777777,0.9861111111111112,0.9805555555555555,0.9833333333333333,0.9888888888888889,0.9861111111111112,0.9805555555555555,0.9833333333333333,0.9833333333333333,0.003154949081000186,LFDA+kNN,gaussians
35,,32,3,orthonormalized,0.23,0.25,0.3,0.25,0.225,0.175,0.225,0.275,0.2,0.15,0.25,0.04301162633521314,0.0669865608215332,0.9407157897949219,0.01608145236968994,0.3422222222222222,0.32222222222222224,0.3194444444444444,0.35555555555555557,0.34444444444444444,0.33611111111111114,0.35,0.34444444444444444,0.36944444444444446,0.3527777777777778,0.3277777777777778,0.015051352426826746,LFDA+kNN,gaussians
36,,64,1,weighted,0.97,0.975,1.0,0.975,0.95,0.95,0.95,0.925,1.0,0.975,1.0,0.024494897427831782,0.06884729862213135,0.9619711399078369,0.016521382331848144,0.97,0.9722222222222222,0.9638888888888889,0.9694444444444444,0.9694444444444444,0.9805555555555555,0.9722222222222222,0.975,0.9694444444444444,0.9611111111111111,0.9666666666666667,0.005241100628920317,LFDA+kNN,gaussians
37,,64,1,orthonormalized,0.29,0.275,0.3,0.3,0.3,0.25,0.25,0.4,0.25,0.2,0.375,0.057227615711297995,0.07070803642272949,0.9815749645233154,0.016962647438049316,0.3375,0.3472222222222222,0.33611111111111114,0.3333333333333333,0.35,0.3472222222222222,0.33055555555555555,0.325,0.3277777777777778,0.33055555555555555,0.3472222222222222,0.008979572152913668,LFDA+kNN,gaussians
38,,64,2,weighted,0.97,0.975,1.0,0.975,0.95,0.925,0.95,0.925,1.0,1.0,1.0,0.029154759474226494,0.07256877422332764,1.0029975652694703,0.017389702796936034,0.9725,0.9722222222222222,0.9666666666666667,0.9722222222222222,0.9666666666666667,0.9805555555555555,0.975,0.975,0.9722222222222222,0.975,0.9694444444444444,0.004015786748555808,LFDA+kNN,gaussians
39,,64,2,orthonormalized,0.29,0.275,0.3,0.3,0.3,0.25,0.25,0.4,0.25,0.2,0.375,0.057227615711297995,0.07442951202392578,1.0357820510864257,0.017818808555603027,0.3375,0.3472222222222222,0.33611111111111114,0.3333333333333333,0.35,0.3472222222222222,0.33055555555555555,0.325,0.3277777777777778,0.33055555555555555,0.3472222222222222,0.008979572152913668,LFDA+kNN,gaussians
40,,64,3,weighted,0.9775,0.975,1.0,0.975,0.95,0.95,0.975,0.95,1.0,1.0,1.0,0.020766559657295208,0.07629024982452393,1.0631981372833252,0.0182466983795166,0.9741666666666666,0.9722222222222222,0.9666666666666667,0.9722222222222222,0.9666666666666667,0.9805555555555555,0.9777777777777777,0.9777777777777777,0.9722222222222222,0.9833333333333333,0.9722222222222222,0.005277777777777759,LFDA+kNN,gaussians
41,,64,3,orthonormalized,0.29,0.275,0.3,0.3,0.3,0.25,0.25,0.4,0.25,0.2,0.375,0.057227615711297995,0.07815098762512207,1.0975017547607422,0.018676018714904784,0.3375,0.3472222222222222,0.33611111111111114,0.3333333333333333,0.35,0.3472222222222222,0.33055555555555555,0.325,0.3277777777777778,0.33055555555555555,0.3472222222222222,0.008979572152913668,LFDA+kNN,gaussians
42,,128,1,weighted,0.935,0.925,0.95,0.9,0.925,0.9,0.925,0.925,0.975,0.95,0.975,0.025495097567963896,0.08001172542572021,1.1187571048736573,0.019094014167785646,0.9361111111111111,0.9305555555555556,0.9333333333333333,0.9416666666666667,0.9361111111111111,0.95,0.925,0.9388888888888889,0.9333333333333333,0.9388888888888889,0.9333333333333333,0.006454972243679006,LFDA+kNN,gaussians
43,,128,1,orthonormalized,0.2575,0.3,0.175,0.325,0.3,0.175,0.325,0.25,0.2,0.2,0.325,0.06128825336065632,0.08187246322631836,1.1383609294891357,0.019524121284484865,0.3022222222222222,0.2916666666666667,0.3111111111111111,0.3111111111111111,0.29444444444444445,0.3111111111111111,0.3,0.2833333333333333,0.33055555555555555,0.3138888888888889,0.275,0.015654447559561517,LFDA+kNN,gaussians
44,,128,2,weighted,0.9375,0.95,0.95,0.9,0.925,0.9,0.925,0.925,0.975,0.95,0.975,0.02561737691489897,0.0837332010269165,1.1597835302352906,0.019969987869262695,0.9377777777777778,0.9361111111111111,0.9388888888888889,0.9388888888888889,0.9361111111111111,0.9444444444444444,0.9361111111111111,0.9361111111111111,0.9388888888888889,0.9388888888888889,0.9333333333333333,0.002832788618662648,LFDA+kNN,gaussians
45,,128,2,orthonormalized,0.2575,0.3,0.175,0.325,0.3,0.175,0.325,0.25,0.2,0.2,0.325,0.06128825336065632,0.08559393882751465,1.192568016052246,0.02041127681732178,0.3022222222222222,0.2916666666666667,0.3111111111111111,0.3111111111111111,0.29444444444444445,0.3111111111111111,0.3,0.2833333333333333,0.33055555555555555,0.3138888888888889,0.275,0.015654447559561517,LFDA+kNN,gaussians
46,,128,3,weighted,0.9375,0.95,0.95,0.925,0.925,0.9,0.925,0.9,0.975,0.95,0.975,0.02561737691489897,0.08745467662811279,1.2199841022491456,0.02091515064239502,0.9388888888888889,0.9361111111111111,0.9333333333333333,0.9388888888888889,0.9361111111111111,0.9472222222222222,0.9305555555555556,0.9444444444444444,0.9388888888888889,0.9444444444444444,0.9388888888888889,0.004969039949999515,LFDA+kNN,gaussians
47,,128,3,orthonormalized,0.2575,0.3,0.175,0.325,0.3,0.175,0.325,0.25,0.2,0.2,0.325,0.06128825336065632,0.08931541442871094,1.2542877197265625,0.02140665054321289,0.3022222222222222,0.2916666666666667,0.3111111111111111,0.3111111111111111,0.29444444444444445,0.3111111111111111,0.3,0.2833333333333333,0.33055555555555555,0.3138888888888889,0.275,0.015654447559561517,LFDA+kNN,gaussians
