,cmaes__f__n_neighbors,cmaes__s__n_gen,cmaes__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
25,4,500,triangular,,16,0.27,0.325,0.225,0.325,0.3,0.275,0.225,0.275,0.25,0.25,0.25,0.035,0.03774251937866211,970.6451268434524,0.024666738510131837,0.4008333333333333,0.4166666666666667,0.41944444444444445,0.3972222222222222,0.3888888888888889,0.41944444444444445,0.3972222222222222,0.37222222222222223,0.3972222222222222,0.4,0.4,0.013947100234036884,CMAES+kNN,gaussians
26,4,1000,triangular,,16,0.275,0.375,0.225,0.325,0.3,0.275,0.225,0.275,0.25,0.25,0.25,0.044721359549995794,0.039194154739379886,1034.8022337436676,0.02556731700897217,0.4025,0.4111111111111111,0.425,0.4,0.39166666666666666,0.41944444444444445,0.4,0.37222222222222223,0.3972222222222222,0.4083333333333333,0.4,0.014079250997193538,CMAES+kNN,gaussians
27,8,250,triangular,,16,0.27,0.325,0.225,0.325,0.3,0.275,0.225,0.275,0.25,0.25,0.25,0.035,0.040645790100097653,1060.938440823555,0.026468062400817872,0.4025,0.4166666666666667,0.4166666666666667,0.40555555555555556,0.39166666666666666,0.4166666666666667,0.4083333333333333,0.37222222222222223,0.4,0.3972222222222222,0.4,0.013114524037903199,CMAES+kNN,gaussians
28,8,500,triangular,,16,0.27,0.325,0.225,0.325,0.3,0.275,0.225,0.275,0.25,0.25,0.25,0.035,0.04209742546081543,1093.5003653049469,0.027568721771240236,0.4025,0.41388888888888886,0.4222222222222222,0.3972222222222222,0.3972222222222222,0.4166666666666667,0.40555555555555556,0.375,0.39444444444444443,0.4027777777777778,0.4,0.012695994313362711,CMAES+kNN,gaussians
29,8,1000,triangular,,16,0.2675,0.325,0.225,0.325,0.3,0.275,0.225,0.25,0.25,0.25,0.25,0.03544361719689456,0.0435490608215332,1158.0092310905457,0.028269147872924803,0.4041666666666667,0.41388888888888886,0.4222222222222222,0.3972222222222222,0.39444444444444443,0.41944444444444445,0.4166666666666667,0.37777777777777777,0.3972222222222222,0.4027777777777778,0.4,0.013102751572300843,CMAES+kNN,gaussians
30,4,250,triangular,,32,0.2375,0.275,0.3,0.275,0.25,0.175,0.225,0.275,0.2,0.15,0.25,0.046435439052516785,0.04500069618225098,1170.174974155426,0.02926926612854004,0.34444444444444444,0.3277777777777778,0.3194444444444444,0.3638888888888889,0.3472222222222222,0.33611111111111114,0.3527777777777778,0.3472222222222222,0.3638888888888889,0.35555555555555557,0.33055555555555555,0.014593250596181887,CMAES+kNN,gaussians
31,4,500,triangular,,32,0.23,0.25,0.3,0.25,0.225,0.175,0.25,0.275,0.175,0.15,0.25,0.045825756949558406,0.04645233154296875,1202.2469730615617,0.030169677734375,0.3408333333333333,0.3194444444444444,0.3194444444444444,0.35555555555555557,0.34444444444444444,0.3333333333333333,0.3416666666666667,0.34444444444444444,0.3638888888888889,0.3527777777777778,0.3333333333333333,0.013947100234036891,CMAES+kNN,gaussians
32,4,1000,triangular,,32,0.23,0.25,0.3,0.25,0.225,0.175,0.225,0.275,0.2,0.15,0.25,0.04301162633521314,0.04790396690368652,1266.4040799617767,0.031020188331604005,0.3425,0.32222222222222224,0.325,0.35555555555555557,0.34444444444444444,0.33611111111111114,0.35555555555555557,0.3416666666666667,0.3638888888888889,0.3527777777777778,0.3277777777777778,0.013724021474484024,CMAES+kNN,gaussians
33,8,250,triangular,,32,0.235,0.25,0.3,0.275,0.225,0.175,0.25,0.275,0.2,0.15,0.25,0.045,0.049355602264404295,1292.5402870416642,0.03192102909088135,0.34,0.3194444444444444,0.3194444444444444,0.35555555555555557,0.34444444444444444,0.3333333333333333,0.3388888888888889,0.3416666666666667,0.3638888888888889,0.3527777777777778,0.33055555555555555,0.014065543223524634,CMAES+kNN,gaussians
34,8,500,triangular,,32,0.23,0.25,0.3,0.25,0.225,0.175,0.225,0.275,0.2,0.15,0.25,0.04301162633521314,0.05080723762512207,1325.102211523056,0.03292148113250733,0.34194444444444444,0.32222222222222224,0.325,0.35555555555555557,0.34444444444444444,0.3333333333333333,0.35555555555555557,0.3416666666666667,0.3638888888888889,0.3472222222222222,0.33055555555555555,0.013289859682117426,CMAES+kNN,gaussians
35,8,1000,triangular,,32,0.235,0.25,0.3,0.275,0.25,0.175,0.225,0.275,0.2,0.15,0.25,0.045,0.052258872985839845,1389.6110773086548,0.033922004699707034,0.34194444444444444,0.3194444444444444,0.32222222222222224,0.35555555555555557,0.3472222222222222,0.3333333333333333,0.35,0.34444444444444444,0.36666666666666664,0.3527777777777778,0.3277777777777778,0.014774540163302442,CMAES+kNN,gaussians
36,4,250,triangular,,64,0.29,0.275,0.3,0.3,0.3,0.25,0.25,0.4,0.275,0.2,0.35,0.052678268764263694,0.05371050834655762,1401.7768203735352,0.03477258682250976,0.3388888888888889,0.35555555555555557,0.33611111111111114,0.33611111111111114,0.3472222222222222,0.3472222222222222,0.33055555555555555,0.325,0.3277777777777778,0.3333333333333333,0.35,0.00986013297183269,CMAES+kNN,gaussians
37,4,500,triangular,,64,0.2925,0.275,0.3,0.3,0.3,0.275,0.25,0.4,0.275,0.2,0.35,0.051295711321707974,0.05516214370727539,1433.8488192796708,0.035773706436157224,0.3383333333333333,0.3472222222222222,0.33611111111111114,0.3333333333333333,0.35,0.3472222222222222,0.33055555555555555,0.3277777777777778,0.3277777777777778,0.33611111111111114,0.3472222222222222,0.008314794192830974,CMAES+kNN,gaussians
38,4,1000,triangular,,64,0.2925,0.275,0.3,0.3,0.3,0.25,0.25,0.4,0.275,0.2,0.375,0.055957573213998475,0.05661377906799316,1498.0059261798858,0.036674880981445314,0.3383333333333333,0.35,0.33611111111111114,0.33611111111111114,0.35,0.34444444444444444,0.3277777777777778,0.3277777777777778,0.33055555555555555,0.3388888888888889,0.3416666666666667,0.007837075544258817,CMAES+kNN,gaussians
39,8,250,triangular,,64,0.2925,0.275,0.3,0.3,0.3,0.25,0.275,0.4,0.275,0.2,0.35,0.051295711321707974,0.05806541442871094,1524.1421332597733,0.037475085258483885,0.33944444444444444,0.3472222222222222,0.33611111111111114,0.33611111111111114,0.35,0.3472222222222222,0.3333333333333333,0.3277777777777778,0.3277777777777778,0.3388888888888889,0.35,0.008221471437193737,CMAES+kNN,gaussians
40,8,500,triangular,,64,0.29,0.275,0.3,0.3,0.3,0.25,0.25,0.4,0.25,0.2,0.375,0.057227615711297995,0.05951704978942871,1556.7040577411651,0.038475632667541504,0.3383333333333333,0.3472222222222222,0.33611111111111114,0.33611111111111114,0.35,0.3472222222222222,0.33055555555555555,0.325,0.3277777777777778,0.33055555555555555,0.3527777777777778,0.009606453592105876,CMAES+kNN,gaussians
41,8,1000,triangular,,64,0.295,0.275,0.3,0.3,0.3,0.275,0.25,0.4,0.275,0.2,0.375,0.05454356057317857,0.06096868515014649,1621.212923526764,0.03943400382995606,0.3388888888888889,0.3472222222222222,0.33611111111111114,0.33611111111111114,0.35,0.3472222222222222,0.3416666666666667,0.33055555555555555,0.3277777777777778,0.33055555555555555,0.3416666666666667,0.007453559924999293,CMAES+kNN,gaussians
42,4,250,triangular,,128,0.2575,0.3,0.175,0.325,0.3,0.175,0.325,0.25,0.2,0.2,0.325,0.06128825336065632,0.062420320510864255,1633.3786665916443,0.040134549140930176,0.3030555555555556,0.29444444444444445,0.3111111111111111,0.3111111111111111,0.29444444444444445,0.3111111111111111,0.3,0.2833333333333333,0.33055555555555555,0.31666666666666665,0.2777777777777778,0.015237320168780526,CMAES+kNN,gaussians
43,4,500,triangular,,128,0.26,0.3,0.2,0.325,0.3,0.175,0.325,0.25,0.2,0.2,0.325,0.05830951894845301,0.06387195587158204,1665.45066549778,0.041135644912719725,0.3016666666666667,0.2916666666666667,0.30833333333333335,0.30833333333333335,0.29444444444444445,0.30833333333333335,0.2972222222222222,0.2861111111111111,0.3277777777777778,0.3138888888888889,0.28055555555555556,0.013505828645714688,CMAES+kNN,gaussians
44,4,1000,triangular,,128,0.26,0.3,0.2,0.325,0.3,0.175,0.325,0.25,0.2,0.2,0.325,0.05830951894845301,0.0653235912322998,1729.607772397995,0.042136621475219724,0.30194444444444446,0.28888888888888886,0.30833333333333335,0.3111111111111111,0.29444444444444445,0.3111111111111111,0.3,0.2861111111111111,0.3277777777777778,0.3138888888888889,0.2777777777777778,0.014436429400206983,CMAES+kNN,gaussians
45,8,250,triangular,,128,0.255,0.3,0.175,0.325,0.3,0.175,0.325,0.25,0.2,0.2,0.3,0.05894913061275798,0.06677522659301757,1755.7439794778825,0.042837119102478026,0.3013888888888889,0.2916666666666667,0.3111111111111111,0.30833333333333335,0.29444444444444445,0.3111111111111111,0.2972222222222222,0.28055555555555556,0.33055555555555555,0.3111111111111111,0.2777777777777778,0.015277777777777774,CMAES+kNN,gaussians
46,8,500,triangular,,128,0.26,0.3,0.2,0.325,0.3,0.175,0.325,0.25,0.2,0.2,0.325,0.05830951894845301,0.06822686195373535,1788.3059039592742,0.04403784275054932,0.3016666666666667,0.2916666666666667,0.30833333333333335,0.3111111111111111,0.29444444444444445,0.3111111111111111,0.3,0.2833333333333333,0.33055555555555555,0.3138888888888889,0.2722222222222222,0.016015039228221752,CMAES+kNN,gaussians
47,8,1000,triangular,,128,0.2625,0.3,0.2,0.325,0.3,0.175,0.325,0.275,0.2,0.2,0.325,0.05836308764964376,0.06967849731445312,1852.814769744873,0.045038819313049316,0.3013888888888889,0.2916666666666667,0.30833333333333335,0.3111111111111111,0.29444444444444445,0.3111111111111111,0.3,0.2777777777777778,0.33055555555555555,0.3138888888888889,0.275,0.016256527653777247,CMAES+kNN,gaussians
