,cmaes__f__n_neighbors,cmaes__s__n_gen,cmaes__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
49,4,100,diagonal,,32,0.99,1.0,1.0,1.0,1.0,1.0,0.925,0.975,1.0,1.0,1.0,0.02291287847477919,0.19924283027648926,101.23450410366058,0.028182482719421385,0.9886111111111111,0.9888888888888889,0.9944444444444445,0.9944444444444445,0.9972222222222222,0.9944444444444445,0.9638888888888889,0.9972222222222222,0.9944444444444445,0.9916666666666667,0.9694444444444444,0.011279966946803867,stand+CMAES+kNN,gaussians
50,4,250,diagonal,,32,0.9925,1.0,1.0,1.0,1.0,0.975,1.0,1.0,0.975,0.975,1.0,0.01145643923738961,0.20322768688201903,105.08179068565369,0.02873382568359375,0.9891666666666666,0.9916666666666667,0.9888888888888889,0.9916666666666667,0.9944444444444445,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9722222222222222,0.9972222222222222,0.006266952318154717,stand+CMAES+kNN,gaussians
51,8,50,diagonal,,32,0.9825,1.0,1.0,1.0,1.0,0.975,0.9,1.0,1.0,0.975,0.975,0.02968585521759479,0.20721254348754883,105.87644379138946,0.029289889335632324,0.9911111111111112,0.9916666666666667,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9944444444444445,0.9777777777777777,0.9944444444444445,0.9972222222222222,0.9944444444444445,0.9944444444444445,0.005241100628920345,stand+CMAES+kNN,gaussians
52,8,100,diagonal,,32,0.9875,1.0,1.0,1.0,0.975,0.95,1.0,0.975,1.0,1.0,0.975,0.016770509831248438,0.2111974000930786,107.47749338150024,0.02985067367553711,0.9911111111111112,0.9916666666666667,0.9944444444444445,0.9916666666666667,0.9888888888888889,0.9916666666666667,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.9944444444444445,0.9777777777777777,0.004779069592801473,stand+CMAES+kNN,gaussians
53,8,250,diagonal,,32,0.97,1.0,1.0,1.0,0.975,0.975,0.975,0.95,0.85,1.0,0.975,0.043011626335213146,0.2151822566986084,111.47932105064392,0.03041219711303711,0.9869444444444444,0.9777777777777777,0.9916666666666667,0.9888888888888889,0.9916666666666667,0.9972222222222222,0.9944444444444445,0.9916666666666667,0.9472222222222222,0.9944444444444445,0.9944444444444445,0.014166666666666685,stand+CMAES+kNN,gaussians
54,1,50,diagonal,,64,0.975,1.0,1.0,1.0,1.0,0.925,0.925,0.95,1.0,1.0,0.95,0.031622776601683784,0.21916711330413818,112.4181594133377,0.030961132049560545,0.9833333333333333,0.9694444444444444,0.9833333333333333,0.975,0.9916666666666667,0.9555555555555556,0.9944444444444445,0.9888888888888889,0.9916666666666667,0.9944444444444445,0.9888888888888889,0.012171612389003694,stand+CMAES+kNN,gaussians
55,1,100,diagonal,,64,0.965,1.0,1.0,1.0,1.0,0.975,1.0,0.975,1.0,0.7,1.0,0.0888819441731559,0.22315196990966796,113.919602560997,0.03151075839996338,0.9727777777777777,0.9888888888888889,0.9888888888888889,0.9944444444444445,0.9972222222222222,0.9944444444444445,0.9916666666666667,0.9972222222222222,0.9916666666666667,0.7888888888888889,0.9944444444444445,0.06136060182878038,stand+CMAES+kNN,gaussians
56,1,250,diagonal,,64,0.9675,1.0,1.0,0.975,0.975,1.0,0.925,0.975,1.0,1.0,0.825,0.052500000000000005,0.22713682651519776,117.51278247833253,0.03206255435943604,0.9758333333333333,0.9944444444444445,0.9944444444444445,0.9777777777777777,0.975,0.9972222222222222,0.9888888888888889,1.0,0.9916666666666667,0.9916666666666667,0.8472222222222222,0.04353319295536326,stand+CMAES+kNN,gaussians
57,4,50,diagonal,,64,0.9875,1.0,1.0,0.95,0.975,0.975,1.0,0.975,1.0,1.0,1.0,0.016770509831248438,0.23112168312072753,118.27541172504425,0.032612395286560056,0.9872222222222222,0.9888888888888889,0.9944444444444445,0.9805555555555555,0.9805555555555555,0.9916666666666667,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9888888888888889,0.9666666666666667,0.008443713418650384,stand+CMAES+kNN,gaussians
58,4,100,diagonal,,64,0.98,1.0,1.0,1.0,1.0,1.0,0.875,0.975,1.0,1.0,0.95,0.038405728739343045,0.23510653972625734,119.81439094543457,0.03316688537597656,0.9797222222222223,0.9888888888888889,0.9861111111111112,0.9888888888888889,0.9861111111111112,0.9944444444444445,0.9333333333333333,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9388888888888889,0.022049677358295716,stand+CMAES+kNN,gaussians
59,4,250,diagonal,,64,0.9825,1.0,1.0,1.0,1.0,0.975,1.0,0.975,0.95,0.95,0.975,0.019525624189766652,0.2390913963317871,123.66167752742767,0.033717894554138185,0.9822222222222222,0.9916666666666667,0.9944444444444445,0.9888888888888889,0.9944444444444445,0.9861111111111112,0.9916666666666667,0.9805555555555555,0.95,0.9472222222222222,0.9972222222222222,0.017400510848184274,stand+CMAES+kNN,gaussians
60,8,50,diagonal,,64,0.9775,1.0,1.0,1.0,1.0,0.975,0.875,0.975,1.0,0.975,0.975,0.036142080737002404,0.24307625293731688,124.45633063316345,0.03426661491394043,0.9875,0.9916666666666667,0.9944444444444445,0.9888888888888889,0.9888888888888889,0.9944444444444445,0.9527777777777777,0.9944444444444445,0.9944444444444445,0.9805555555555555,0.9944444444444445,0.012313422366278637,stand+CMAES+kNN,gaussians
61,8,100,diagonal,,64,0.9875,1.0,1.0,1.0,0.975,0.925,1.0,0.975,1.0,1.0,1.0,0.02304886114323221,0.24706110954284669,126.05738022327424,0.03481204509735107,0.9863888888888889,0.9888888888888889,0.9944444444444445,0.9888888888888889,0.9833333333333333,0.9861111111111112,0.9833333333333333,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9638888888888889,0.008282250842153106,stand+CMAES+kNN,gaussians
