,error,jde__s__n_gen,jde__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
10,,100,full,4,0.7134831460674157,0.7368421052631579,0.6875,0.8888888888888888,0.7222222222222222,0.6111111111111112,0.7777777777777778,0.7222222222222222,0.6111111111111112,0.6666666666666666,0.7058823529411765,0.07712456254301513,0.031925749778747556,3045.6883215665816,0.013956952095031738,0.8158551810237203,0.8113207547169812,0.8271604938271605,0.79375,0.81875,0.8375,0.80625,0.81875,0.81875,0.825,0.8012422360248447,0.012329124184203122,JDE+kNN,wine
11,,100,diagonal,4,0.9213483146067416,0.9473684210526315,1.0,1.0,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.8333333333333334,1.0,0.8235294117647058,0.0681302073264167,0.03482809066772461,3099.543339300156,0.015115571022033692,0.966916354556804,0.9748427672955975,0.9567901234567902,0.9375,0.98125,0.96875,0.9875,0.98125,0.95625,0.975,0.9503105590062112,0.015243054299412948,JDE+kNN,wine
12,,25,full,8,0.6910112359550562,0.6842105263157895,0.8125,0.6666666666666666,0.6666666666666666,0.6111111111111112,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.6470588235294118,0.05829384977489711,0.03773043155670166,3293.2561612844465,0.016161298751831053,0.785892634207241,0.8238993710691824,0.8024691358024691,0.775,0.775,0.81875,0.7625,0.775,0.78125,0.80625,0.7391304347826086,0.025149019854306814,JDE+kNN,wine
13,,25,diagonal,8,0.9044943820224719,0.8947368421052632,0.875,1.0,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.8823529411764706,0.05072914937567706,0.040632772445678714,3306.637323498726,0.017191386222839354,0.9269662921348315,0.89937106918239,0.8271604938271605,0.9375,0.94375,0.95,0.94375,0.9625,0.91875,0.94375,0.9440993788819876,0.037192584960370055,JDE+kNN,wine
14,,100,full,8,0.7247191011235955,0.6842105263157895,0.8125,0.8333333333333334,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.7222222222222222,0.6470588235294118,0.08222346528575597,0.04353511333465576,4078.8694346666334,0.018222784996032713,0.7771535580524345,0.7672955974842768,0.7839506172839507,0.7625,0.79375,0.8,0.7375,0.75625,0.79375,0.7875,0.7888198757763976,0.019192342907400416,JDE+kNN,wine
15,,100,diagonal,8,0.9213483146067416,0.9473684210526315,1.0,1.0,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.8333333333333334,0.9444444444444444,0.8235294117647058,0.05837085958854775,0.04643745422363281,4132.724452400207,0.019258761405944826,0.9588014981273408,0.9559748427672956,0.9567901234567902,0.925,0.975,0.94375,0.9875,0.99375,0.95,0.95,0.9503105590062112,0.019787739019628874,JDE+kNN,wine
16,,25,full,16,0.7247191011235955,0.7368421052631579,0.875,0.8333333333333334,0.6666666666666666,0.5555555555555556,0.8888888888888888,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.5882352941176471,0.10745684419048038,0.049339795112609865,4326.437274384499,0.02029998302459717,0.7490636704119851,0.7672955974842768,0.7530864197530864,0.71875,0.75625,0.7375,0.76875,0.73125,0.74375,0.7625,0.7515527950310559,0.015403603732215965,JDE+kNN,wine
17,,25,diagonal,16,0.8876404494382022,0.8421052631578947,0.8125,1.0,0.9444444444444444,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8333333333333334,0.8823529411764706,0.05152729467572531,0.05224213600158691,4339.818436598778,0.021333861351013183,0.9063670411985019,0.8930817610062893,0.7592592592592593,0.9125,0.93125,0.93125,0.93125,0.9625,0.8875,0.93125,0.9254658385093167,0.053106335295993706,JDE+kNN,wine
18,,100,full,16,0.7415730337078652,0.7368421052631579,0.875,0.8888888888888888,0.7222222222222222,0.6666666666666666,0.8333333333333334,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.6470588235294118,0.08628563544043338,0.05514447689056397,5112.050547766686,0.022372961044311523,0.7702871410736579,0.7610062893081762,0.7530864197530864,0.7875,0.7875,0.7625,0.75625,0.75625,0.79375,0.78125,0.7639751552795031,0.014628101734407562,JDE+kNN,wine
19,,100,diagonal,16,0.9157303370786517,0.9473684210526315,1.0,1.0,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.8333333333333334,0.8888888888888888,0.8235294117647058,0.058569420889636965,0.058046817779541016,5165.905565500259,0.023419499397277832,0.9450686641697877,0.949685534591195,0.9320987654320988,0.90625,0.9625,0.95,0.9875,0.9875,0.9125,0.94375,0.9192546583850931,0.02711869421486242,JDE+kNN,wine
20,,25,full,32,0.7134831460674157,0.7368421052631579,0.8125,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.5882352941176471,0.0810699063958156,0.060949158668518064,5359.61838748455,0.024450135231018067,0.7359550561797753,0.7358490566037735,0.7345679012345679,0.7125,0.7375,0.7375,0.75,0.7375,0.73125,0.74375,0.7391304347826086,0.009216712143530498,JDE+kNN,wine
21,,25,diagonal,32,0.8876404494382022,0.8947368421052632,0.8125,1.0,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.8823529411764706,0.05241259489039858,0.06385149955749511,5372.9995496988295,0.02546868324279785,0.8895131086142322,0.8805031446540881,0.7592592592592593,0.90625,0.88125,0.9,0.93125,0.9375,0.875,0.9,0.9254658385093167,0.04812832271586486,JDE+kNN,wine
22,,100,full,32,0.7247191011235955,0.7368421052631579,0.875,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.5882352941176471,0.08856223608103782,0.06675384044647217,6145.231660866737,0.02649717330932617,0.7403245942571786,0.7232704402515723,0.7222222222222222,0.74375,0.74375,0.7375,0.7375,0.74375,0.75625,0.7375,0.7577639751552795,0.011114970969574948,JDE+kNN,wine
23,,100,diagonal,32,0.9213483146067416,1.0,0.875,1.0,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.7777777777777778,0.9444444444444444,0.9411764705882353,0.06263100883385697,0.06965618133544922,6199.086678600312,0.02752358913421631,0.9350811485642946,0.9433962264150944,0.9382716049382716,0.875,0.95625,0.91875,0.98125,0.975,0.9125,0.9375,0.9130434782608695,0.030216525200871654,JDE+kNN,wine
24,,25,full,64,0.7303370786516854,0.7368421052631579,0.8125,0.8888888888888888,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.7777777777777778,0.5882352941176471,0.08297796894374167,0.07255852222442627,6392.799500584602,0.028552532196044922,0.7228464419475655,0.7232704402515723,0.7160493827160493,0.7125,0.73125,0.71875,0.73125,0.7125,0.71875,0.7375,0.7267080745341615,0.008154246297065073,JDE+kNN,wine
25,,25,diagonal,64,0.8426966292134831,0.8421052631578947,0.75,0.9444444444444444,0.8888888888888888,0.7777777777777778,0.9444444444444444,0.7222222222222222,0.8333333333333334,0.7777777777777778,0.9411764705882353,0.08009907824033946,0.07546086311340332,6406.180662798882,0.0296018123626709,0.8558052434456929,0.8616352201257862,0.7160493827160493,0.85625,0.8375,0.88125,0.875,0.9,0.8875,0.85625,0.8881987577639752,0.049923806989374826,JDE+kNN,wine
26,,100,full,64,0.7247191011235955,0.7368421052631579,0.8125,0.8888888888888888,0.6111111111111112,0.7777777777777778,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.7777777777777778,0.5882352941176471,0.08872170219541367,0.07836320400238037,7178.412773966789,0.030561017990112304,0.7290886392009988,0.7169811320754716,0.7098765432098766,0.7375,0.725,0.73125,0.7375,0.725,0.73125,0.725,0.7515527950310559,0.01105138205784276,JDE+kNN,wine
27,,100,diagonal,64,0.8595505617977528,0.9473684210526315,0.875,0.8888888888888888,0.8888888888888888,0.7777777777777778,1.0,0.6666666666666666,0.7777777777777778,0.8333333333333334,0.9411764705882353,0.0934483269899148,0.08126554489135743,7232.267791700363,0.0310823917388916,0.8932584269662921,0.8930817610062893,0.8888888888888888,0.825,0.925,0.8875,0.9375,0.94375,0.875,0.88125,0.8757763975155279,0.03317970882184698,JDE+kNN,wine
28,,25,full,128,0.6685393258426966,0.6842105263157895,0.75,0.7222222222222222,0.6666666666666666,0.6111111111111112,0.6666666666666666,0.6111111111111112,0.6666666666666666,0.6666666666666666,0.6470588235294118,0.0410241859223434,0.08416788578033448,7425.980613684655,0.0314486026763916,0.6629213483146067,0.660377358490566,0.6604938271604939,0.65,0.66875,0.6625,0.66875,0.675,0.65625,0.66875,0.6583850931677019,0.007017130494295607,JDE+kNN,wine
29,,25,diagonal,128,0.6685393258426966,0.631578947368421,0.75,0.7222222222222222,0.6111111111111112,0.6666666666666666,0.7222222222222222,0.5,0.6666666666666666,0.6666666666666666,0.7647058823529411,0.07395985281984171,0.08707022666931152,7439.361775898933,0.03181135654449463,0.6585518102372035,0.6729559748427673,0.6604938271604939,0.675,0.66875,0.675,0.69375,0.6,0.68125,0.60625,0.6521739130434783,0.029689949527636744,JDE+kNN,wine
30,,100,full,128,0.6685393258426966,0.6842105263157895,0.75,0.7222222222222222,0.6666666666666666,0.6111111111111112,0.6666666666666666,0.6111111111111112,0.6666666666666666,0.6666666666666666,0.6470588235294118,0.0410241859223434,0.08997256755828857,8211.593887066841,0.032174181938171384,0.6679151061173533,0.660377358490566,0.6604938271604939,0.66875,0.6625,0.675,0.66875,0.675,0.66875,0.66875,0.6708074534161491,0.005027540408425801,JDE+kNN,wine
31,,100,diagonal,128,0.6741573033707865,0.631578947368421,0.75,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.6111111111111112,0.6111111111111112,0.6666666666666666,0.6666666666666666,0.7647058823529411,0.05120874870817545,0.09287490844726562,8265.448904800414,0.03253471851348877,0.6841448189762797,0.6540880503144654,0.7037037037037037,0.66875,0.6625,0.69375,0.6625,0.7,0.69375,0.69375,0.7080745341614907,0.018869867045649958,JDE+kNN,wine
