,cmaes__c__n_neighbors,cmaes__c__weights,cmaes__n_gen,cmaes__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
14,4,uniform,100,full,,1,0.9732888146911519,0.9783783783783784,0.9886363636363636,0.9726775956284153,0.9558011049723757,0.9833333333333333,0.9720670391061452,0.9553072625698324,0.9832402234636871,0.9662921348314607,0.9774011299435028,0.010762225300789983,0.16299104690551758,25108.24129061699,0.07729215621948242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
15,4,uniform,100,diagonal,,1,0.9755147468002225,0.9783783783783784,0.9943181818181818,0.9726775956284153,0.9779005524861878,0.9777777777777777,0.9720670391061452,0.9720670391061452,0.9553072625698324,0.9775280898876404,0.9774011299435028,0.009057331571915943,0.17385711669921874,25159.955283880234,0.08459932804107666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
16,4,uniform,250,full,,1,0.9738452977184195,0.9837837837837838,1.0,0.9672131147540983,0.9723756906077348,0.9777777777777777,0.9664804469273743,0.9720670391061452,0.9720670391061452,0.9719101123595506,0.9548022598870056,0.011275635502501928,0.1847231864929199,31638.275571370126,0.08792262077331543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
17,4,uniform,250,diagonal,,1,0.9799666110183639,0.9891891891891892,0.9943181818181818,0.9781420765027322,0.9723756906077348,0.9888888888888889,0.9664804469273743,0.9664804469273743,0.9776536312849162,0.9719101123595506,0.9943502824858758,0.010356062762842977,0.1955892562866211,31779.018415808678,0.09525156021118164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
18,4,distance,50,full,,1,0.9744017807456873,0.9837837837837838,0.9943181818181818,0.9781420765027322,0.9723756906077348,0.9722222222222222,0.9608938547486033,0.9608938547486033,0.9832402234636871,0.9662921348314607,0.9717514124293786,0.010116156683815596,0.20645532608032227,33081.982781767845,0.09858529567718506,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
19,4,distance,50,diagonal,,1,0.9693934335002783,0.9675675675675676,0.9829545454545454,0.9453551912568307,0.9723756906077348,0.9611111111111111,0.9776536312849162,0.9720670391061452,0.9720670391061452,0.9606741573033708,0.9830508474576272,0.010897497246964653,0.21732139587402344,33107.59754793644,0.10589022636413574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
20,4,distance,100,full,,1,0.9710628825820813,0.9513513513513514,0.9943181818181818,0.9781420765027322,0.9723756906077348,0.9666666666666667,0.9664804469273743,0.9720670391061452,0.9664804469273743,0.9775280898876404,0.9661016949152542,0.010534983055730418,0.2281874656677246,35672.58087456226,0.10922114849090576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
21,4,distance,100,diagonal,,1,0.9721758486366165,0.9783783783783784,0.9886363636363636,0.9781420765027322,0.9723756906077348,0.9888888888888889,0.9608938547486033,0.9608938547486033,0.9664804469273743,0.9438202247191011,0.9830508474576272,0.013541377036921633,0.23905353546142577,35732.83140423298,0.1165616273880005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
22,4,distance,250,full,,1,0.9699499165275459,0.9891891891891892,0.9886363636363636,0.9672131147540983,0.9613259668508287,0.9722222222222222,0.9608938547486033,0.9664804469273743,0.9608938547486033,0.9662921348314607,0.9661016949152542,0.010052872837246922,0.24991960525512696,42191.88372676373,0.11987550258636474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
23,4,distance,250,diagonal,,1,0.9766277128547579,0.9837837837837838,0.9943181818181818,0.9672131147540983,0.9779005524861878,0.9722222222222222,0.9608938547486033,0.9776536312849162,0.9720670391061452,0.9775280898876404,0.9830508474576272,0.00886163927069366,0.2607856750488281,42333.57275514603,0.12725682258605958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
24,8,uniform,50,full,,1,0.9727323316638843,0.9837837837837838,0.9943181818181818,0.9672131147540983,0.9779005524861878,0.9777777777777777,0.9553072625698324,0.9553072625698324,0.9720670391061452,0.9831460674157303,0.96045197740113,0.0124002972919917,0.2716517448425293,43645.77425642013,0.13056001663208008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
25,8,uniform,50,diagonal,,1,0.9760712298274903,0.9837837837837838,1.0,0.9781420765027322,0.9613259668508287,0.9777777777777777,0.9664804469273743,0.9776536312849162,0.9832402234636871,0.9719101123595506,0.96045197740113,0.011242109499399511,0.2825178146362305,43673.22275476456,0.1378551721572876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
26,8,uniform,100,full,,1,0.9721758486366165,0.972972972972973,0.9943181818181818,0.9726775956284153,0.9668508287292817,0.9833333333333333,0.9608938547486033,0.9553072625698324,0.9720670391061452,0.9662921348314607,0.9774011299435028,0.010572458509671643,0.29338388442993163,46261.99357600212,0.14120938777923583,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
27,8,uniform,100,diagonal,,1,0.9771841958820257,0.9837837837837838,1.0,0.9617486338797814,0.9779005524861878,0.9833333333333333,0.9664804469273743,0.9832402234636871,0.9888268156424581,0.9719101123595506,0.9548022598870056,0.012869565027545379,0.3042499542236328,46317.2968252182,0.14852170944213866,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
28,8,uniform,250,full,,1,0.9749582637729549,0.9837837837837838,1.0,0.9726775956284153,0.9779005524861878,0.9777777777777777,0.9608938547486033,0.9608938547486033,0.9776536312849162,0.9719101123595506,0.9661016949152542,0.011033570423783126,0.31511602401733396,52886.109460926054,0.15181779861450195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
