,error,jdeknn__f__n_neighbors,jdeknn__s__n_gen,jdeknn__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
19,,4,100,diagonal,2,0.94,0.8666666666666667,0.9333333333333333,1.0,1.0,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,1.0,0.8666666666666667,0.05537749241945382,0.12270879745483398,212.81783125400543,0.022347474098205568,0.9703703703703703,0.9851851851851852,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9851851851851852,0.9703703703703703,0.9481481481481482,0.9703703703703703,0.9555555555555556,0.9777777777777777,0.010986960721623184,stand+JDEkNN+kNN,iris
20,,8,25,full,2,0.9533333333333334,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,0.04268749491621898,0.1288442373275757,219.7865027666092,0.022836756706237794,0.9777777777777777,0.9851851851851852,0.9851851851851852,0.9629629629629629,0.9925925925925926,0.9703703703703703,0.9629629629629629,0.9777777777777777,0.9851851851851852,0.9703703703703703,0.9851851851851852,0.00993807989999908,stand+JDEkNN+kNN,iris
21,,8,25,diagonal,2,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.04216370213557838,0.1349796772003174,221.50702435970305,0.02332351207733154,0.9740740740740741,0.9777777777777777,0.9777777777777777,0.9703703703703703,0.9777777777777777,0.9851851851851852,0.9851851851851852,0.9703703703703703,0.9629629629629629,0.9481481481481482,0.9851851851851852,0.011111111111111101,stand+JDEkNN+kNN,iris
22,,8,100,full,2,0.94,0.9333333333333333,0.9333333333333333,1.0,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.035901098714230015,0.14111511707305907,248.96258580684662,0.02381002902984619,0.9748148148148148,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9703703703703703,0.9777777777777777,0.9777777777777777,0.9703703703703703,0.9481481481481482,0.9925925925925926,0.9777777777777777,0.010579893968211617,stand+JDEkNN+kNN,iris
23,,8,100,diagonal,2,0.9466666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,1.0,0.8666666666666667,0.039999999999999994,0.14725055694580078,255.79283962249755,0.024298906326293945,0.9725925925925926,0.9703703703703703,0.9703703703703703,0.9629629629629629,0.9777777777777777,0.9777777777777777,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9777777777777777,0.9777777777777777,0.004743054990691006,stand+JDEkNN+kNN,iris
24,,1,25,full,4,0.92,0.9333333333333333,0.9333333333333333,1.0,0.8666666666666667,1.0,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.04988876515698587,0.15338599681854248,263.0450222015381,0.02478504180908203,0.9703703703703703,0.9703703703703703,0.9777777777777777,0.9851851851851852,0.9629629629629629,0.9703703703703703,0.9555555555555556,0.9851851851851852,0.9703703703703703,0.9407407407407408,0.9851851851851852,0.013658584381174631,stand+JDEkNN+kNN,iris
25,,1,25,diagonal,4,0.9533333333333334,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,0.04268749491621898,0.15952143669128419,264.720751953125,0.025275135040283205,0.9651851851851851,0.9629629629629629,0.9703703703703703,0.9481481481481482,0.9703703703703703,0.9629629629629629,0.9555555555555556,0.9629629629629629,0.9703703703703703,0.9703703703703703,0.9777777777777777,0.008148148148148123,stand+JDEkNN+kNN,iris
26,,1,100,full,4,0.9533333333333334,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.030550504633038926,0.1656568765640259,291.39108166694643,0.025768327713012695,0.9696296296296296,0.9777777777777777,0.9777777777777777,0.9629629629629629,0.9629629629629629,0.9777777777777777,0.9777777777777777,0.9703703703703703,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.006988134171893791,stand+JDEkNN+kNN,iris
27,,1,100,diagonal,4,0.9466666666666667,0.8666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,1.0,0.9333333333333333,0.03999999999999999,0.17179231643676757,297.9013365745544,0.026261448860168457,0.9696296296296296,0.9777777777777777,0.9777777777777777,0.9481481481481482,0.9703703703703703,0.9777777777777777,0.9555555555555556,0.9703703703703703,0.9703703703703703,0.9703703703703703,0.9777777777777777,0.0096296296296296,stand+JDEkNN+kNN,iris
28,,4,25,full,4,0.9466666666666667,0.8666666666666667,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,0.8666666666666667,0.9333333333333333,0.04988876515698587,0.17792775630950927,305.025909614563,0.026749944686889647,0.9696296296296296,0.9407407407407408,0.9851851851851852,0.9407407407407408,0.9925925925925926,0.9851851851851852,0.9777777777777777,0.9777777777777777,0.9629629629629629,0.9555555555555556,0.9777777777777777,0.017669422876854145,stand+JDEkNN+kNN,iris
29,,4,25,diagonal,4,0.9466666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.039999999999999994,0.18406319618225098,306.78531448841096,0.02725174427032471,0.9674074074074074,0.9851851851851852,0.9703703703703703,0.9555555555555556,0.9703703703703703,0.9777777777777777,0.9629629629629629,0.9629629629629629,0.9555555555555556,0.9629629629629629,0.9703703703703703,0.008888888888888872,stand+JDEkNN+kNN,iris
30,,4,100,full,4,0.96,0.9333333333333333,0.9333333333333333,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,1.0,0.9333333333333333,0.03265986323710904,0.19019863605499268,333.9518311023712,0.027742838859558104,0.9637037037037037,0.9703703703703703,0.9777777777777777,0.9555555555555556,0.9629629629629629,0.9629629629629629,0.9481481481481482,0.9703703703703703,0.9555555555555556,0.9555555555555556,0.9777777777777777,0.009629629629629597,stand+JDEkNN+kNN,iris
31,,4,100,diagonal,4,0.94,0.8,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,1.0,0.9333333333333333,0.05537749241945381,0.19633407592773439,340.7142510652542,0.02823517322540283,0.9651851851851851,0.9703703703703703,0.9629629629629629,0.9629629629629629,0.9703703703703703,0.9703703703703703,0.9629629629629629,0.9629629629629629,0.9777777777777777,0.9407407407407408,0.9703703703703703,0.009398946326258888,stand+JDEkNN+kNN,iris
32,,8,25,full,4,0.9466666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.026666666666666658,0.20246951580047606,347.682922577858,0.028728318214416505,0.9785185185185186,0.9851851851851852,0.9851851851851852,0.9703703703703703,0.9851851851851852,0.9851851851851852,0.9703703703703703,0.9777777777777777,0.9703703703703703,0.9703703703703703,0.9851851851851852,0.006988134171893791,stand+JDEkNN+kNN,iris
